주택관리번호,공고번호,모델번호,주택형,거주코드,거주지역,최저당첨가점,최고당첨가점,평균당첨가점
"2025000004","2025000004","01","059.9973A","01","해당지역",,,
"2025000004","2025000004","01","059.9973A","02","기타지역",,,
"2025000004","2025000004","02","059.9957B","01","해당지역",,,
"2025000004","2025000004","02","059.9957B","02","기타지역",,,
"2025000004","2025000004","03","075.9281A","01","해당지역",,,
"2025000004","2025000004","03","075.9281A","02","기타지역",,,
"2025000004","2025000004","04","084.6964A","01","해당지역",,,
"2025000004","2025000004","04","084.6964A","02","기타지역",,,
"2025000004","2025000004","05","084.9963B","01","해당지역",,,
"2025000004","2025000004","05","084.9963B","02","기타지역",,,
"2025000001","2025000001","01","059.9800A","01","해당지역","69","74","70.29"
"2025000001","2025000001","01","059.9800A","02","기타지역","0","0","0"
"2025000001","2025000001","02","059.9500B","01","해당지역","69","77","71.17"
"2025000001","2025000001","02","059.9500B","02","기타지역","0","0","0"
"2025000001","2025000001","03","059.7800C","01","해당지역","69","69","69"
"2025000001","2025000001","03","059.7800C","02","기타지역","0","0","0"
"2025000001","2025000001","04","084.7300A","01","해당지역","69","72","69.83"
"2025000001","2025000001","04","084.7300A","02","기타지역","0","0","0"
"2025000001","2025000001","05","084.6800B","01","해당지역","69","74","69.28"
"2025000001","2025000001","05","084.6800B","02","기타지역","0","0","0"
"2025000001","2025000001","06","084.9200C","01","해당지역","69","70","69.33"
"2025000001","2025000001","06","084.9200C","02","기타지역","0","0","0"
"2025000001","2025000001","07","084.9700D","01","해당지역","69","79","70.23"
"2025000001","2025000001","07","084.9700D","02","기타지역","0","0","0"
"2025000001","2025000001","08","084.9200E","01","해당지역","69","74","71"
"2025000001","2025000001","08","084.9200E","02","기타지역","0","0","0"
"2025000001","2025000001","09","106.9700A","01","해당지역","69","74","70.57"
"2025000001","2025000001","09","106.9700A","02","기타지역","0","0","0"
"2025000001","2025000001","10","106.8100B","01","해당지역","69","72","69.26"
"2025000001","2025000001","10","106.8100B","02","기타지역","0","0","0"
"2025000001","2025000001","11","120.6300 ","01","해당지역","69","70","69.25"
"2025000001","2025000001","11","120.6300 ","02","기타지역","0","0","0"
"2024000751","2024000751","01","039.7744A","01","해당지역","50","64","57.5"
"2024000751","2024000751","01","039.7744A","02","기타지역","0","0","0"
"2024000751","2024000751","02","059.9750A","01","해당지역","56","63","59.43"
"2024000751","2024000751","02","059.9750A","02","기타지역","0","0","0"
"2024000751","2024000751","03","059.9966B","01","해당지역","56","63","59"
"2024000751","2024000751","03","059.9966B","02","기타지역","0","0","0"
"2024000751","2024000751","04","059.9908C","01","해당지역","59","82","63.25"
"2024000751","2024000751","04","059.9908C","02","기타지역","0","0","0"
"2024000751","2024000751","05","059.7905D","01","해당지역","58","69","61.89"
"2024000751","2024000751","05","059.7905D","02","기타지역","0","0","0"
"2024000751","2024000751","06","084.9195A","01","해당지역","65","79","68.88"
"2024000751","2024000751","06","084.9195A","02","기타지역","0","0","0"
"2024000751","2024000751","07","084.9492B","01","해당지역","61","70","64.45"
"2024000751","2024000751","07","084.9492B","02","기타지역","0","0","0"
"2024000751","2024000751","08","084.9492C","01","해당지역","67","69","68"
"2024000751","2024000751","08","084.9492C","02","기타지역","0","0","0"
"2024000751","2024000751","09","084.9122D","01","해당지역","58","84","62.59"
"2024000751","2024000751","09","084.9122D","02","기타지역","0","0","0"
"2024000751","2024000751","10","101.7553A","01","해당지역",,,
"2024000751","2024000751","10","101.7553A","02","기타지역",,,
"2024000751","2024000751","11","101.9865B","01","해당지역",,,
"2024000751","2024000751","11","101.9865B","02","기타지역",,,
"2024000751","2024000751","12","117.8332A","01","해당지역",,,
"2024000751","2024000751","12","117.8332A","02","기타지역",,,
"2024000751","2024000751","13","117.8441B","01","해당지역",,,
"2024000751","2024000751","13","117.8441B","02","기타지역",,,
"2024000750","2024000750","01","059.9957A","01","해당지역",,,
"2024000750","2024000750","01","059.9957A","02","기타지역",,,
"2024000750","2024000750","02","059.9734B","01","해당지역",,,
"2024000750","2024000750","02","059.9734B","02","기타지역",,,
"2024000750","2024000750","03","074.5847A","01","해당지역",,,
"2024000750","2024000750","03","074.5847A","02","기타지역",,,
"2024000750","2024000750","04","074.9026B","01","해당지역",,,
"2024000750","2024000750","04","074.9026B","02","기타지역",,,
"2024000750","2024000750","05","084.9350A","01","해당지역",,,
"2024000750","2024000750","05","084.9350A","02","기타지역",,,
"2024000750","2024000750","06","084.4955B","01","해당지역",,,
"2024000750","2024000750","06","084.4955B","02","기타지역",,,
"2024000747","2024000747","01","084.9680A","01","해당지역",,,
"2024000747","2024000747","01","084.9680A","02","기타지역",,,
"2024000747","2024000747","02","084.8642B","01","해당지역",,,
"2024000747","2024000747","02","084.8642B","02","기타지역",,,
"2024000747","2024000747","03","084.9904C","01","해당지역",,,
"2024000747","2024000747","03","084.9904C","02","기타지역",,,
"2024000747","2024000747","04","084.9636D","01","해당지역",,,
"2024000747","2024000747","04","084.9636D","02","기타지역",,,
"2024000747","2024000747","05","089.5130A","01","해당지역",,,
"2024000747","2024000747","05","089.5130A","02","기타지역",,,
"2024000747","2024000747","06","089.5204C","01","해당지역",,,
"2024000747","2024000747","06","089.5204C","02","기타지역",,,
"2024000742","2024000742","01","059.9385A","01","해당지역","33","59","42.32"
"2024000742","2024000742","01","059.9385A","02","기타지역","0","0","0"
"2024000742","2024000742","02","059.9385B","01","해당지역",,,
"2024000742","2024000742","02","059.9385B","02","기타지역",,,
"2024000733","2024000733","01","045.1533C","01","해당지역",,,
"2024000733","2024000733","01","045.1533C","02","기타지역",,,
"2024000733","2024000733","02","050.8273B","01","해당지역",,,
"2024000733","2024000733","02","050.8273B","02","기타지역",,,
"2024000733","2024000733","03","055.2035A","01","해당지역",,,
"2024000733","2024000733","03","055.2035A","02","기타지역",,,
"2024000732","2024000732","01","055.2035A","01","해당지역",,,
"2024000732","2024000732","01","055.2035A","02","기타지역",,,
"2024000732","2024000732","02","055.9035B","01","해당지역",,,
"2024000732","2024000732","02","055.9035B","02","기타지역",,,
"2024000732","2024000732","03","055.9095C","01","해당지역",,,
"2024000732","2024000732","03","055.9095C","02","기타지역",,,
"2024000731","2024000731","01","055.9035A","01","해당지역",,,
"2024000731","2024000731","01","055.9035A","02","기타지역",,,
"2024000731","2024000731","02","056.8275B","01","해당지역",,,
"2024000731","2024000731","02","056.8275B","02","기타지역",,,
"2024000731","2024000731","03","059.1790C","01","해당지역",,,
"2024000731","2024000731","03","059.1790C","02","기타지역",,,
"2024000730","2024000730","01","059.9200A","01","해당지역","50","64","54.85"
"2024000730","2024000730","01","059.9200A","02","기타지역","0","0","0"
"2024000730","2024000730","02","059.8900B","01","해당지역","44","64","49.13"
"2024000730","2024000730","02","059.8900B","02","기타지역","0","0","0"
"2024000730","2024000730","03","068.3700A","01","해당지역","32","32","32"
"2024000730","2024000730","03","068.3700A","02","기타지역","0","0","0"
"2024000730","2024000730","04","071.8500A","01","해당지역","50","67","56.76"
"2024000730","2024000730","04","071.8500A","02","기타지역","0","0","0"
"2024000730","2024000730","05","071.8100B","01","해당지역","50","65","55.29"
"2024000730","2024000730","05","071.8100B","02","기타지역","0","0","0"
"2024000730","2024000730","06","084.9100A","01","해당지역","60","74","63.6"
"2024000730","2024000730","06","084.9100A","02","기타지역","0","0","0"
"2024000730","2024000730","07","084.8400B","01","해당지역","51","60","54.56"
"2024000730","2024000730","07","084.8400B","02","기타지역","0","0","0"
"2024000730","2024000730","08","095.3400A","01","해당지역",,,
"2024000730","2024000730","08","095.3400A","02","기타지역",,,
"2024000729","2024000729","01","059.9800A","01","해당지역","48","65","51.71"
"2024000729","2024000729","01","059.9800A","02","기타지역","0","0","0"
"2024000729","2024000729","02","059.9600B","01","해당지역","35","48","42"
"2024000729","2024000729","02","059.9600B","02","기타지역","0","0","0"
"2024000729","2024000729","03","071.7900A","01","해당지역","48","67","53"
"2024000729","2024000729","03","071.7900A","02","기타지역","0","0","0"
"2024000729","2024000729","04","071.6800B","01","해당지역","37","49","40.8"
"2024000729","2024000729","04","071.6800B","02","기타지역","0","0","0"
"2024000729","2024000729","05","084.9100A","01","해당지역","52","69","56.08"
"2024000729","2024000729","05","084.9100A","02","기타지역","0","0","0"
"2024000729","2024000729","06","084.8200B","01","해당지역","37","64","43.54"
"2024000729","2024000729","06","084.8200B","02","기타지역","0","0","0"
