,법정동,거래금액_2020,거래금액_2021,거래금액_2022,거래금액_2023,거래금액_2024,거래금액_2025,지역
0,가정동,37979.72972972973,34805.61111111111,39960.0,46640.0,54057.142857142855,42131.08108108108,인천
1,가좌동,19177.31343283582,22352.941176470587,22394.117647058825,24351.515151515152,26907.14285714286,26771.875,인천
2,간석동,21888.98245614035,23840.29411764706,25424.444444444445,30434.21052631579,25885.966666666667,30777.777777777777,인천
3,갈산동,21862.5,39540.0,27514.285714285714,27821.052631578947,25206.666666666668,25729.166666666668,인천
4,강화읍 갑곳리,15033.333333333334,13500.0,7575.0,16100.0,14800.0,16925.0,인천
5,강화읍 관청리,8400.0,8500.0,8810.0,,,9250.0,인천
6,강화읍 남산리,22500.0,,,,26000.0,28500.0,인천
7,검암동,36367.857142857145,50250.0,35433.333333333336,36065.217391304344,40250.0,38416.666666666664,인천
8,경서동,29166.666666666668,38400.0,31000.0,35500.0,35300.0,30516.666666666668,인천
9,계산동,21287.925925925927,25129.62962962963,29520.0,27116.666666666668,23898.275862068964,26018.78787878788,인천
10,공촌동,22050.0,25300.0,20000.0,27000.0,32750.0,25750.0,인천
11,관교동,30051.69230769231,31700.0,38250.0,41933.333333333336,31750.0,30325.0,인천
12,관동3가,,9800.0,,,,,인천
13,구산동,36980.0,,,39800.0,36333.333333333336,37650.0,인천
14,구월동,40520.46323529412,27230.275862068964,36688.37209302326,40082.954545454544,43356.52173913043,41286.70886075949,인천
15,귤현동,42750.0,,41000.0,41933.333333333336,50550.0,47750.0,인천
16,금곡동,27516.666666666668,36475.0,43000.0,36716.666666666664,38358.333333333336,34925.0,인천
17,길상면 온수리,,7800.0,,,,,인천
18,남촌동,20544.444444444445,34166.666666666664,28216.666666666668,24125.0,27650.0,22828.571428571428,인천
19,논현동,40305.68493150685,55150.0,40380.95238095238,41231.96721311475,40799.01960784314,43118.90243902439,인천
20,답동,24500.0,17850.0,32000.0,,19000.0,,인천
21,당하동,32206.875,41945.555555555555,35178.04,44256.065573770495,46233.75,42230.61224489796,인천
22,대곡동,20180.0,,,22700.0,,,인천
23,도림동,36700.0,47500.0,,33500.0,42000.0,34350.0,인천
24,도원동,,,,,,11820.0,인천
25,도화동,16383.870967741936,19980.0,33354.545454545456,28975.0,41541.57894736842,32352.5,인천
26,동양동,34654.545454545456,,,37000.0,50000.0,38100.0,인천
27,동춘동,34441.11111111111,44807.692307692305,34652.5,34991.95121951219,37192.59259259259,38681.25,인천
28,마전동,25660.660256410258,27378.571428571428,27961.11111111111,27387.80487804878,19334.158415841583,29979.0,인천
29,만석동,13896.153846153846,18360.0,14142.857142857143,19500.0,17075.0,18900.0,인천
30,만수동,20251.924882629108,26260.60606060606,23692.5,24162.5,23527.17391304348,22452.717391304348,인천
31,문학동,13500.0,,,,,,인천
32,박촌동,40391.666666666664,,41000.0,37642.857142857145,49500.0,38125.0,인천
33,방축동,15366.666666666666,,15000.0,16000.0,16000.0,22750.0,인천
34,백석동,,,,54882.25,60000.0,,인천
35,병방동,16984.615384615383,15473.076923076924,25333.333333333332,20196.875,23700.0,19838.88888888889,인천
36,부개동,30074.79768786127,34550.0,27982.5,34095.16129032258,35841.666666666664,38400.0,인천
37,부평동,28270.844827586207,25093.666666666668,24213.88888888889,29916.666666666668,38511.77419354839,35744.791666666664,인천
38,북성동1가,7500.0,,11000.0,,,,인천
39,북성동2가,,15000.0,,,,12300.0,인천
40,북성동3가,,6200.0,,,,,인천
41,불로동,22667.567567567567,27792.85714285714,28520.0,25792.85714285714,26357.894736842107,25909.52380952381,인천
42,산곡동,32777.5,40431.818181818184,35756.0,33394.565217391304,36293.269230769234,36694.329268292684,인천
43,삼산동,38172.25806451613,54727.666666666664,34666.666666666664,38061.76470588235,35316.07142857143,36045.65217391304,인천
44,서운동,43285.71428571428,,50250.0,47500.0,61875.0,38435.294117647056,인천
45,서창동,37916.981132075474,46657.142857142855,40112.903225806454,39241.379310344826,38308.82352941176,38663.333333333336,인천
46,석남동,17547.619047619046,21680.0,22800.0,23694.117647058825,22479.166666666668,21865.0,인천
47,선원면 창리,17720.0,19675.0,20575.0,21000.0,24340.0,23078.285714285714,인천
48,선학동,23083.333333333332,43575.0,27000.0,26750.0,31750.0,28550.0,인천
49,송도동,70724.56890459365,97050.0,61959.83606557377,74567.14285714286,76928.54838709677,75658.20512820513,인천
50,송림동,22450.0,28948.117647058825,26285.714285714286,28666.666666666668,26500.0,29388.095238095237,인천
51,송월동1가,13433.333333333334,,,,15250.0,,인천
52,송월동2가,18800.0,31000.0,27500.0,22000.0,,23000.0,인천
53,송현동,16941.666666666668,21787.5,24371.428571428572,21878.571428571428,17263.636363636364,18150.0,인천
54,숭의동,15122.0,15423.529411764706,18171.428571428572,24170.0,16338.888888888889,16300.0,인천
55,신생동,26000.0,22250.0,18700.0,25700.0,,,인천
56,신현동,47014.583333333336,35325.0,45800.0,52570.0,46442.857142857145,46759.375,인천
57,신흥동1가,22591.666666666668,26000.0,,25508.333333333332,25500.0,32000.0,인천
58,신흥동2가,12320.0,10862.5,16800.0,,11000.0,12666.666666666666,인천
59,신흥동3가,22169.444444444445,30700.0,24000.0,24600.0,26485.714285714286,24562.5,인천
60,심곡동,22831.81818181818,25850.0,23500.0,26087.5,23336.363636363636,24290.625,인천
61,십정동,27392.424242424244,34375.0,29490.0,32914.95,37411.76470588235,28126.923076923078,인천
62,연수동,21583.73232323232,39800.0,27036.666666666668,25846.341463414636,26551.923076923078,26462.5,인천
63,연희동,15966.666666666666,16900.0,14482.5,21825.0,21220.0,18675.0,인천
64,오류동,24421.052631578947,42700.0,,30325.0,27071.428571428572,30212.5,인천
65,옥련동,25969.791666666668,41200.0,21575.0,28502.941176470587,27102.380952380954,26971.79487179487,인천
66,왕길동,26384.722222222223,29410.0,29050.0,31645.454545454544,31653.846153846152,31460.0,인천
67,용종동,38706.25,37450.0,30400.0,25866.666666666668,37807.692307692305,42666.666666666664,인천
68,용현동,34239.32773109244,31759.333333333332,36519.565217391304,28475.0,34783.333333333336,34879.09090909091,인천
69,운남동,37382.0,55742.857142857145,37742.857142857145,39214.28571428572,42766.666666666664,41178.94736842105,인천
70,운서동,25065.78947368421,25318.75,28400.0,34468.42105263158,27884.615384615383,34736.36363636364,인천
71,원당동,32493.333333333332,63521.916666666664,41352.90476190476,57568.181818181816,59162.5,63763.15789473684,인천
72,이화동,30150.0,,,33500.0,39850.0,,인천
73,인현동,12500.0,14100.0,,,12900.0,,인천
