NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 서대문구 북아현동,1011,1011,0,신촌푸르지오,84.9559,202502,28,"155,000",-,5,개인,개인,2015,북아현로1길 50,-,중개거래,서울 서대문구,-
2,서울특별시 관악구 봉천동,1719,1719,0,관악동부센트레빌,59.8,202502,28,"86,000",-,4,개인,개인,2004,은천로33길 5,-,중개거래,"경기 안양시 동안구, 서울 관악구",-
3,서울특별시 영등포구 신길동,4938,4938,0,신길자이,59.99,202502,28,"90,000",-,17,개인,개인,2011,가마산로79길 19,-,중개거래,서울 영등포구,-
4,서울특별시 영등포구 신길동,4955,4955,0,신길센트럴아이파크,59.97,202502,28,"114,000",-,15,개인,법인,2019,가마산로 426,-,중개거래,서울 영등포구,-
5,서울특별시 송파구 풍납동,261,261,0,현대리버빌2지구,40.95,202502,28,"58,500",-,11,개인,개인,1999,풍성로24길 42,-,중개거래,서울 송파구,-
6,서울특별시 은평구 녹번동,83-47,83,47,송학파크팰리스,52.89,202502,28,"38,500",-,3,개인,개인,2008,녹번로 6-29,-,중개거래,서울 은평구,-
7,서울특별시 성동구 하왕십리동,1052,1052,0,금호베스트빌,114.93,202502,28,"104,800",-,12,개인,개인,2001,난계로 114-31,-,중개거래,서울 성동구,-
8,서울특별시 성동구 하왕십리동,1066,1066,0,텐즈힐(1단지),72.52,202502,28,"155,000",-,2,개인,개인,2015,무학로 33,-,중개거래,"서울 성동구, 서울 성북구",-
9,서울특별시 마포구 신공덕동,155,155,0,신공덕1차삼성래미안1아파트,59.76,202502,28,"135,000",-,17,개인,개인,2000,백범로37길 12,-,중개거래,서울 마포구,-
10,서울특별시 마포구 신공덕동,170,170,0,브라운스톤공덕아파트,84.98,202502,28,"173,000",-,17,개인,개인,2009,백범로 230,-,중개거래,서울 마포구,-
11,서울특별시 동작구 노량진동,332,332,0,쌍용예가,114.685,202502,28,"145,000",-,10,개인,개인,2010,장승배기로16길 134,-,중개거래,서울 동작구,-
12,서울특별시 마포구 공덕동,188-108,188,108,마포현대,72.49,202502,28,"103,500",-,15,개인,개인,1988,마포대로11길 84,-,중개거래,서울 마포구,-
13,서울특별시 강남구 자곡동,686,686,0,강남한양수자인(4단지),84.89,202502,28,"159,000",-,5,개인,개인,2014,자곡로 260,-,중개거래,서울 강남구,-
14,서울특별시 노원구 월계동,943,943,0,세양청마루,84.939,202502,28,"67,000",-,11,개인,개인,2005,석계로13길 35,-,중개거래,서울 노원구,-
