법정동,계약년도,계약월,평당가격,지역
가남읍 신해리,2020,1,183.082,경기
가남읍 신해리,2020,2,177.566,경기
가남읍 신해리,2020,3,184.881,경기
가남읍 신해리,2020,4,175.57000000000002,경기
가남읍 신해리,2020,5,179.79888888888888,경기
가남읍 신해리,2020,6,184.41916666666668,경기
가남읍 신해리,2020,7,174.17999999999998,경기
가남읍 신해리,2020,8,195.70499999999998,경기
가남읍 신해리,2020,9,192.195,경기
가남읍 신해리,2020,10,165.18,경기
가남읍 신해리,2020,11,181.295,경기
가남읍 신해리,2020,12,163.765,경기
가남읍 신해리,2021,1,186.9283333333333,경기
가남읍 신해리,2021,2,175.50285714285715,경기
가남읍 신해리,2021,3,194.81555555555553,경기
가남읍 신해리,2021,4,168.29928571428573,경기
가남읍 신해리,2021,5,182.31500000000003,경기
가남읍 신해리,2021,6,183.82,경기
가남읍 신해리,2021,7,184.67636363636365,경기
가남읍 신해리,2021,8,185.6916,경기
가남읍 신해리,2021,9,187.66565217391306,경기
가남읍 신해리,2021,10,206.45613636363635,경기
가남읍 신해리,2021,11,210.8359090909091,경기
가남읍 신해리,2021,12,213.85625,경기
가남읍 신해리,2022,1,224.215,경기
가남읍 신해리,2022,2,233.61142857142858,경기
가남읍 신해리,2022,3,222.539,경기
가남읍 신해리,2022,4,230.37363636363636,경기
가남읍 신해리,2022,5,223.80124999999998,경기
가남읍 신해리,2022,6,228.70999999999998,경기
가남읍 신해리,2022,7,214.64125,경기
가남읍 신해리,2022,8,219.64352941176472,경기
가남읍 신해리,2022,9,212.33555555555554,경기
가남읍 신해리,2022,10,224.05285714285714,경기
가남읍 신해리,2022,11,206.506,경기
가남읍 신해리,2022,12,216.265,경기
가남읍 신해리,2023,1,237.31000000000003,경기
가남읍 신해리,2023,2,214.506,경기
가남읍 신해리,2023,3,217.67999999999998,경기
가남읍 신해리,2023,4,218.535,경기
가남읍 신해리,2023,5,221.30999999999997,경기
가남읍 신해리,2023,6,217.613,경기
가남읍 신해리,2023,7,217.60888888888888,경기
가남읍 신해리,2023,8,220.21272727272728,경기
가남읍 신해리,2023,9,200.19307692307694,경기
가남읍 신해리,2023,10,234.19000000000003,경기
가남읍 신해리,2023,11,224.39000000000001,경기
가남읍 신해리,2023,12,227.43,경기
가남읍 신해리,2024,1,227.4,경기
가남읍 신해리,2024,2,200.99333333333334,경기
가남읍 신해리,2024,3,195.295625,경기
가남읍 신해리,2024,4,212.835,경기
가남읍 신해리,2024,5,211.442,경기
가남읍 신해리,2024,6,213.76000000000002,경기
가남읍 신해리,2024,7,202.23000000000002,경기
가남읍 신해리,2024,8,210.54625,경기
가남읍 신해리,2024,9,219.32399999999998,경기
가남읍 신해리,2024,10,228.24,경기
가남읍 신해리,2024,11,189.9557142857143,경기
가남읍 신해리,2024,12,190.54500000000002,경기
가남읍 신해리,2025,1,197.52625,경기
가남읍 신해리,2025,2,227.33999999999997,경기
가남읍 심석리,2020,1,133.62,경기
가남읍 심석리,2020,2,124.14,경기
가남읍 심석리,2020,3,120.69,경기
가남읍 심석리,2020,4,129.31,경기
가남읍 심석리,2020,5,114.02,경기
가남읍 심석리,2020,6,119.94,경기
가남읍 심석리,2020,7,155.17,경기
가남읍 심석리,2020,8,141.378,경기
가남읍 심석리,2020,9,124.14,경기
가남읍 심석리,2020,10,140.95,경기
가남읍 심석리,2020,11,128.44857142857143,경기
가남읍 심석리,2020,12,136.20499999999998,경기
가남읍 심석리,2021,1,136.20666666666668,경기
가남읍 심석리,2021,2,137.93,경기
가남읍 심석리,2021,3,131.724,경기
가남읍 심석리,2021,4,123.79333333333334,경기
가남읍 심석리,2021,5,133.19,경기
가남읍 심석리,2021,6,121.38,경기
가남읍 심석리,2021,7,138.7925,경기
가남읍 심석리,2021,8,131.32,경기
가남읍 심석리,2021,9,137.0,경기
가남읍 심석리,2021,10,139.85142857142858,경기
가남읍 심석리,2021,11,163.79,경기
가남읍 심석리,2021,12,150.57333333333335,경기
가남읍 심석리,2022,1,158.62,경기
가남읍 심석리,2022,2,156.895,경기
가남읍 심석리,2022,3,147.378,경기
가남읍 심석리,2022,4,155.2675,경기
가남읍 심석리,2022,5,144.68333333333334,경기
가남읍 심석리,2022,6,124.39500000000001,경기
가남읍 심석리,2022,7,167.24,경기
가남읍 심석리,2022,8,167.24,경기
가남읍 심석리,2022,9,117.76,경기
가남읍 심석리,2022,12,130.285,경기
가남읍 심석리,2023,1,137.93,경기
가남읍 심석리,2023,2,140.23000000000002,경기
가남읍 심석리,2023,3,148.27666666666667,경기
가남읍 심석리,2023,5,134.844,경기
가남읍 심석리,2023,6,153.45000000000002,경기
가남읍 심석리,2023,7,143.33333333333334,경기
가남읍 심석리,2023,8,150.85999999999999,경기
가남읍 심석리,2023,9,142.24,경기
가남읍 심석리,2023,10,145.2575,경기
가남읍 심석리,2023,11,131.89499999999998,경기
가남읍 심석리,2023,12,151.72,경기
가남읍 심석리,2024,1,143.10333333333332,경기
가남읍 심석리,2024,3,145.69,경기
가남읍 심석리,2024,4,143.1,경기
가남읍 심석리,2024,5,155.74666666666667,경기
가남읍 심석리,2024,6,150.8625,경기
가남읍 심석리,2024,7,156.89499999999998,경기
가남읍 심석리,2024,8,142.52666666666667,경기
가남읍 심석리,2024,9,155.6,경기
가남읍 심석리,2024,11,135.05666666666664,경기
가남읍 심석리,2025,1,143.1,경기
가남읍 심석리,2025,2,129.31,경기
가남읍 태평리,2020,1,158.93,경기
가남읍 태평리,2020,2,135.29,경기
가남읍 태평리,2020,7,169.64,경기
가남읍 태평리,2020,10,151.79,경기
가남읍 태평리,2020,11,119.74499999999999,경기
가남읍 태평리,2021,1,123.33,경기
가남읍 태평리,2021,2,146.875,경기
가남읍 태평리,2021,3,151.98333333333332,경기
가남읍 태평리,2021,4,149.94,경기
가남읍 태평리,2021,5,146.43,경기
가남읍 태평리,2021,8,166.07,경기
가남읍 태평리,2021,9,166.075,경기
가남읍 태평리,2021,10,166.07,경기
가남읍 태평리,2021,11,175.0,경기
가남읍 태평리,2022,2,169.64,경기
가남읍 태평리,2022,3,175.445,경기
가남읍 태평리,2022,4,178.57000000000002,경기
가남읍 태평리,2022,6,180.894,경기
가남읍 태평리,2022,7,181.54666666666665,경기
가남읍 태평리,2022,12,176.79,경기
가남읍 태평리,2023,3,176.79,경기
가남읍 태평리,2023,5,178.51,경기
가남읍 태평리,2023,6,155.12,경기
가남읍 태평리,2023,7,171.425,경기
가남읍 태평리,2023,9,160.71,경기
가남읍 태평리,2023,11,176.79,경기
가남읍 태평리,2024,3,174.11,경기
가남읍 태평리,2024,4,117.65,경기
가남읍 태평리,2024,7,167.85500000000002,경기
가남읍 태평리,2024,8,116.445,경기
가능동,2020,1,324.7113888888889,경기
가능동,2020,2,348.3879069767442,경기
가능동,2020,3,356.0747619047619,경기
가능동,2020,4,306.5355,경기
가능동,2020,5,327.4668965517242,경기
가능동,2020,6,367.9897222222222,경기
가능동,2020,7,383.64489795918365,경기
가능동,2020,8,349.96500000000003,경기
가능동,2020,9,386.8413043478261,경기
가능동,2020,10,350.60571428571427,경기
가능동,2020,11,425.64901639344265,경기
가능동,2020,12,405.9959090909091,경기
