법정동,계약년도,계약월,평당가격,지역
가정동,2020,1,394.8962,인천
가정동,2020,2,450.27258620689656,인천
가정동,2020,3,327.97640624999997,인천
가정동,2020,4,255.99685714285712,인천
가정동,2020,5,335.19209302325584,인천
가정동,2020,6,384.1173076923077,인천
가정동,2020,7,419.53257142857143,인천
가정동,2020,8,404.15916666666664,인천
가정동,2020,9,289.7061111111111,인천
가정동,2020,10,350.7314285714286,인천
가정동,2020,11,487.9931818181818,인천
가정동,2020,12,505.9867567567568,인천
가정동,2021,1,519.7867346938775,인천
가정동,2021,2,496.0367857142857,인천
가정동,2021,3,422.7558227848101,인천
가정동,2021,4,425.51524590163933,인천
가정동,2021,5,455.8907058823529,인천
가정동,2021,6,493.24285714285713,인천
가정동,2021,7,596.774,인천
가정동,2021,8,518.644,인천
가정동,2021,9,635.09,인천
가정동,2021,10,527.6292,인천
가정동,2021,11,496.4614285714286,인천
가정동,2021,12,555.2822222222222,인천
가정동,2022,1,588.7007142857143,인천
가정동,2022,2,572.267,인천
가정동,2022,3,664.8327272727273,인천
가정동,2022,4,618.5661904761904,인천
가정동,2022,5,600.52,인천
가정동,2022,6,570.155,인천
가정동,2022,7,652.0247058823529,인천
가정동,2022,8,654.7326315789473,인천
가정동,2022,9,603.17,인천
가정동,2022,10,520.7166666666667,인천
가정동,2022,11,523.8471794871795,인천
가정동,2022,12,484.88266666666664,인천
가정동,2023,1,552.8315217391304,인천
가정동,2023,2,572.9613333333333,인천
가정동,2023,3,505.14976190476193,인천
가정동,2023,4,566.771052631579,인천
가정동,2023,5,560.6348837209302,인천
가정동,2023,6,608.5369444444445,인천
가정동,2023,7,543.5497777777778,인천
가정동,2023,8,620.2219565217391,인천
가정동,2023,9,611.2315,인천
가정동,2023,10,630.9753125,인천
가정동,2023,11,539.3438095238095,인천
가정동,2023,12,597.3963333333334,인천
가정동,2024,1,535.6582142857143,인천
가정동,2024,2,555.3815555555556,인천
가정동,2024,3,619.3979166666667,인천
가정동,2024,4,598.344705882353,인천
가정동,2024,5,659.8498484848484,인천
가정동,2024,6,638.3151315789473,인천
가정동,2024,7,670.9157971014494,인천
가정동,2024,8,663.1463888888889,인천
가정동,2024,9,627.1091836734694,인천
가정동,2024,10,650.1768055555556,인천
가정동,2024,11,670.3974358974359,인천
가정동,2024,12,679.0685714285713,인천
가정동,2025,1,637.8734285714286,인천
가정동,2025,2,573.7915,인천
가좌동,2020,1,366.8864556962025,인천
가좌동,2020,2,384.5568656716418,인천
가좌동,2020,3,339.133,인천
가좌동,2020,4,326.71885057471263,인천
가좌동,2020,5,319.2465693430657,인천
가좌동,2020,6,337.3577966101695,인천
가좌동,2020,7,347.7229411764706,인천
가좌동,2020,8,320.92918032786883,인천
가좌동,2020,9,332.42679245283017,인천
가좌동,2020,10,308.0692307692308,인천
가좌동,2020,11,333.70190476190476,인천
가좌동,2020,12,302.78373134328353,인천
가좌동,2021,1,314.79329896907217,인천
가좌동,2021,2,377.58514285714284,인천
가좌동,2021,3,369.92785714285714,인천
가좌동,2021,4,349.9871764705882,인천
가좌동,2021,5,379.44195402298845,인천
가좌동,2021,6,358.2945238095238,인천
가좌동,2021,7,404.948679245283,인천
가좌동,2021,8,343.0201851851852,인천
가좌동,2021,9,372.1123076923077,인천
가좌동,2021,10,373.3313043478261,인천
가좌동,2021,11,328.92473684210523,인천
가좌동,2021,12,357.7911764705882,인천
가좌동,2022,1,392.6317391304348,인천
가좌동,2022,2,320.8147368421052,인천
가좌동,2022,3,420.4285185185185,인천
가좌동,2022,4,439.34034482758625,인천
가좌동,2022,5,375.7181818181818,인천
가좌동,2022,6,420.5111764705882,인천
가좌동,2022,7,382.20307692307694,인천
가좌동,2022,8,393.4067741935484,인천
가좌동,2022,9,388.42083333333335,인천
가좌동,2022,10,383.14700000000005,인천
가좌동,2022,11,422.0407142857143,인천
가좌동,2022,12,366.11176470588236,인천
가좌동,2023,1,417.168,인천
가좌동,2023,2,389.9736363636364,인천
가좌동,2023,3,388.728,인천
가좌동,2023,4,373.6302702702703,인천
가좌동,2023,5,380.6945762711864,인천
가좌동,2023,6,369.07048780487804,인천
가좌동,2023,7,419.5335714285714,인천
가좌동,2023,8,392.990612244898,인천
가좌동,2023,9,414.67102040816326,인천
가좌동,2023,10,335.8009677419355,인천
가좌동,2023,11,385.8372727272727,인천
가좌동,2023,12,378.22909090909087,인천
가좌동,2024,1,348.05394736842106,인천
가좌동,2024,2,390.08875,인천
가좌동,2024,3,394.9590909090909,인천
가좌동,2024,4,416.4562666666667,인천
가좌동,2024,5,432.13129032258064,인천
가좌동,2024,6,443.3815517241379,인천
가좌동,2024,7,425.15142857142854,인천
