법정동,계약년도,계약월,평당가격,지역
가락동,2020,1,1161.5865,서울
가락동,2020,2,1305.9357575757574,서울
가락동,2020,3,1099.3836363636362,서울
가락동,2020,4,1110.3745454545453,서울
가락동,2020,5,1214.2069230769232,서울
가락동,2020,6,1347.4293333333333,서울
가락동,2020,7,1446.4840000000002,서울
가락동,2020,8,1390.3603333333333,서울
가락동,2020,9,1502.6353571428572,서울
가락동,2020,10,1330.6286206896552,서울
가락동,2020,11,1658.409411764706,서울
가락동,2020,12,1726.0554237288136,서울
가락동,2021,1,1739.6962745098037,서울
가락동,2021,2,2076.8681818181817,서울
가락동,2021,3,1984.465,서울
가락동,2021,4,2129.0722641509433,서울
가락동,2021,5,2077.354210526316,서울
가락동,2021,6,2067.948,서울
가락동,2021,7,2316.512931034483,서울
가락동,2021,8,2007.0393939393941,서울
가락동,2021,9,2019.8924,서울
가락동,2021,10,2192.548947368421,서울
가락동,2021,11,2135.6721428571427,서울
가락동,2021,12,2144.75125,서울
가락동,2022,1,1903.712,서울
가락동,2022,2,1916.296875,서울
가락동,2022,3,2059.29,서울
가락동,2022,4,2194.3572727272726,서울
가락동,2022,5,2132.5357894736844,서울
가락동,2022,6,1505.62875,서울
가락동,2022,7,2034.8600000000001,서울
가락동,2022,8,1888.8466666666666,서울
가락동,2022,9,1506.628888888889,서울
가락동,2022,10,2070.7675,서울
가락동,2022,11,1961.88875,서울
가락동,2022,12,1820.9664285714284,서울
가락동,2023,1,1977.4322499999998,서울
가락동,2023,2,1985.7922222222223,서울
가락동,2023,3,1998.4094642857142,서울
가락동,2023,4,1906.675142857143,서울
가락동,2023,5,1963.841475409836,서울
가락동,2023,6,2016.3480000000002,서울
가락동,2023,7,1935.506511627907,서울
가락동,2023,8,2074.2664406779663,서울
가락동,2023,9,2106.5822448979593,서울
가락동,2023,10,2083.6772222222226,서울
가락동,2023,11,1793.9437500000001,서울
가락동,2023,12,2019.5595454545453,서울
가락동,2024,1,1963.8222222222223,서울
가락동,2024,2,2025.6390625,서울
가락동,2024,3,2129.6986666666667,서울
가락동,2024,4,2010.4786956521739,서울
가락동,2024,5,2070.7659259259262,서울
가락동,2024,6,2144.926222222222,서울
가락동,2024,7,2129.057006802721,서울
가락동,2024,8,1977.4975949367088,서울
가락동,2024,9,1967.2908695652175,서울
가락동,2024,10,2079.429,서울
가락동,2024,11,2185.580612244898,서울
가락동,2024,12,2101.1285714285714,서울
가락동,2025,1,2175.811304347826,서울
가락동,2025,2,2225.4659523809523,서울
가리봉동,2020,2,537.29,서울
가리봉동,2020,5,508.33,서울
가리봉동,2020,6,545.755,서울
가리봉동,2020,7,538.95,서울
가리봉동,2020,8,592.86,서울
가리봉동,2020,10,694.92,서울
가리봉동,2020,11,577.38,서울
가리봉동,2021,3,692.24,서울
가리봉동,2021,9,711.86,서울
가리봉동,2021,10,535.71,서울
가리봉동,2022,4,805.08,서울
가리봉동,2022,5,864.41,서울
가리봉동,2023,4,589.29,서울
가리봉동,2023,6,733.05,서울
가리봉동,2024,2,822.03,서울
가리봉동,2024,3,531.25,서울
가리봉동,2024,4,595.24,서울
가리봉동,2024,8,619.05,서울
가리봉동,2024,10,847.46,서울
가산동,2020,1,674.836923076923,서울
가산동,2020,2,715.63,서울
가산동,2020,3,842.6016666666666,서울
가산동,2020,4,887.1800000000001,서울
가산동,2020,5,709.3181818181819,서울
가산동,2020,6,796.892380952381,서울
가산동,2020,7,905.3634482758621,서울
가산동,2020,8,841.867,서울
가산동,2020,9,893.055,서울
가산동,2020,10,758.6020000000001,서울
가산동,2020,11,827.225,서울
가산동,2020,12,835.9413333333333,서울
가산동,2021,1,915.1326315789474,서울
가산동,2021,2,990.17,서울
가산동,2021,3,894.5518181818181,서울
가산동,2021,4,883.7076470588235,서울
가산동,2021,5,950.2311764705883,서울
가산동,2021,6,982.1110000000001,서울
가산동,2021,7,1006.3458823529412,서울
가산동,2021,8,964.0713333333333,서울
가산동,2021,9,893.2860000000001,서울
가산동,2021,10,960.4762499999999,서울
가산동,2021,11,1010.7355555555556,서울
가산동,2021,12,942.494,서울
가산동,2022,1,987.0,서울
가산동,2022,2,1027.3500000000001,서울
가산동,2022,3,872.4544444444444,서울
가산동,2022,4,1017.673,서울
가산동,2022,5,990.9977777777777,서울
가산동,2022,6,1055.6712499999999,서울
가산동,2022,7,1110.3375,서울
가산동,2022,8,1004.708,서울
가산동,2022,9,975.0,서울
가산동,2022,10,958.33,서울
가산동,2022,11,1034.105,서울
가산동,2022,12,987.8675,서울
가산동,2023,1,708.96,서울
가산동,2023,2,972.3675,서울
가산동,2023,3,826.0766666666667,서울
가산동,2023,4,884.168,서울
가산동,2023,5,925.82,서울
가산동,2023,6,908.5383333333333,서울
가산동,2023,7,1101.69,서울
가산동,2023,8,912.3000000000001,서울
가산동,2023,9,733.9333333333334,서울
가산동,2023,10,982.7249999999999,서울
가산동,2023,11,850.0,서울
가산동,2023,12,839.436,서울
가산동,2024,1,956.065,서울
가산동,2024,2,815.356,서울
가산동,2024,3,900.0,서울
가산동,2024,4,877.13625,서울
가산동,2024,5,896.6400000000001,서울
가산동,2024,6,900.2114285714285,서울
가산동,2024,7,901.7860000000001,서울
가산동,2024,8,943.082,서울
가산동,2024,9,878.8824999999999,서울
가산동,2024,10,850.5075,서울
가산동,2024,11,994.1366666666667,서울
가산동,2024,12,914.4236363636363,서울
가산동,2025,1,849.1999999999999,서울
가산동,2025,2,863.2459999999999,서울
가양동,2020,1,1029.9437037037037,서울
가양동,2020,2,1113.1303076923077,서울
가양동,2020,3,1044.2890476190476,서울
가양동,2020,4,1080.985294117647,서울
가양동,2020,5,1091.5147272727272,서울
가양동,2020,6,1119.1971999999998,서울
가양동,2020,7,1207.1340963855423,서울
가양동,2020,8,1263.4642,서울
가양동,2020,9,1338.7616666666665,서울
가양동,2020,10,1270.7344736842106,서울
가양동,2020,11,1352.148222222222,서울
가양동,2020,12,1331.3377333333333,서울
가양동,2021,1,1450.4981818181818,서울
가양동,2021,2,1436.8272727272727,서울
가양동,2021,3,1381.0834782608695,서울
가양동,2021,4,1422.5459090909092,서울
가양동,2021,5,1463.2610869565217,서울
가양동,2021,6,1598.152619047619,서울
가양동,2021,7,1421.9508695652173,서울
가양동,2021,8,1517.9110344827586,서울
가양동,2021,9,1589.3449999999998,서울
가양동,2021,10,1796.14625,서울
가양동,2021,11,1471.2133333333331,서울
가양동,2021,12,1418.05,서울
가양동,2022,1,1540.7266666666667,서울
가양동,2022,2,1569.6599999999999,서울
가양동,2022,3,1596.935,서울
가양동,2022,4,1671.1666666666667,서울
가양동,2022,5,1438.432,서울
가양동,2022,6,1231.0566666666666,서울
가양동,2022,7,1479.4566666666667,서울
가양동,2022,8,1601.52,서울
가양동,2022,9,1612.435,서울
가양동,2022,10,1271.2549999999999,서울
가양동,2022,11,1105.6399999999999,서울
가양동,2022,12,1046.0966666666666,서울
가양동,2023,1,1400.405,서울
가양동,2023,2,1265.9755555555557,서울
가양동,2023,3,1252.6100000000001,서울
가양동,2023,4,1271.3657894736843,서울
가양동,2023,5,1232.3508333333332,서울
가양동,2023,6,1273.0,서울
가양동,2023,7,1368.0567999999998,서울
가양동,2023,8,1354.140322580645,서울
가양동,2023,9,1370.3557142857144,서울
가양동,2023,10,1279.0235714285716,서울
가양동,2023,11,1222.229,서울
가양동,2023,12,1301.2125,서울
가양동,2024,1,1366.0217647058823,서울
가양동,2024,2,1301.4323529411763,서울
가양동,2024,3,1324.5290909090909,서울
가양동,2024,4,1288.8262962962963,서울
가양동,2024,5,1271.68,서울
가양동,2024,6,1387.2559090909092,서울
가양동,2024,7,1391.441875,서울
가양동,2024,8,1469.1324444444447,서울
가양동,2024,9,1278.2358823529412,서울
가양동,2024,10,1362.342,서울
가양동,2024,11,1368.328,서울
가양동,2024,12,1327.5239130434782,서울
가양동,2025,1,1393.3744,서울
가양동,2025,2,1419.7857142857142,서울
갈월동,2020,3,972.22,서울
갈월동,2024,4,1313.25,서울
갈월동,2024,5,1579.71,서울
갈현동,2020,1,589.943,서울
갈현동,2020,2,683.5545714285714,서울
갈현동,2020,3,616.4525,서울
갈현동,2020,4,576.5083333333333,서울
갈현동,2020,5,591.6016666666667,서울
갈현동,2020,6,577.0721052631578,서울
갈현동,2020,7,577.1476923076923,서울
갈현동,2020,8,657.12,서울
