년월,구,법정동,법정동시군구코드,법정동읍면동코드,거래금액(만원),전용면적당 거래금액(만원),법정동코드
202401,가평군,가평읍 달전리,41820,25023,14000.0,165.016501650165,4182025023
202401,가평군,가평읍 대곡리,41820,25022,23710.8,289.3006393851919,4182025022
202401,가평군,가평읍 읍내리,41820,25021,26965.0,317.35535757909656,4182025021
202401,가평군,설악면 선촌리,41820,31022,28500.0,338.8419926287005,4182031022
202401,가평군,조종면 현리,41820,34521,17000.0,179.26816408309608,4182034521
202401,가평군,청평면 청평리,41820,32521,22255.555555555555,276.8653835170244,4182032521
202401,고양시 덕양구,고양동,41281,11600,32217.647058823528,366.54668955875024,4128111600
202401,고양시 덕양구,관산동,41281,11800,26633.333333333332,398.7475603541227,4128111800
202401,고양시 덕양구,덕은동,41281,13100,91333.33333333333,967.2029981368578,4128113100
202401,고양시 덕양구,도내동,41281,10500,66914.28571428571,855.7368909013093,4128110500
202401,고양시 덕양구,동산동,41281,11200,71250.0,838.6488546436564,4128111200
202401,고양시 덕양구,삼송동,41281,11100,75216.66666666667,926.2434193119558,4128111100
202401,고양시 덕양구,성사동,41281,10600,42413.333333333336,576.1324477551782,4128110600
202401,고양시 덕양구,신원동,41281,10300,60785.71428571428,732.5056537305996,4128110300
202401,고양시 덕양구,원흥동,41281,10400,78500.0,886.5354572674671,4128110400
202401,고양시 덕양구,주교동,41281,10100,34100.0,488.4167492869984,4128110100
202401,고양시 덕양구,지축동,41281,10900,85400.0,1022.1446684319301,4128110900
202401,고양시 덕양구,토당동,41281,12000,56485.71428571428,599.1295012787594,4128112000
202401,고양시 덕양구,행신동,41281,12800,37083.76470588235,563.9063503177617,4128112800
202401,고양시 덕양구,향동동,41281,13200,66430.0,993.1730574682117,4128113200
202401,고양시 덕양구,화정동,41281,12300,45219.04761904762,587.4248301273346,4128112300
202401,고양시 일산동구,마두동,41285,10500,59800.0,653.1915971202233,4128510500
202401,고양시 일산동구,백석동,41285,10600,53100.0,724.1846712037826,4128510600
202401,고양시 일산동구,사리현동,41285,10900,20866.666666666668,288.08225782086566,4128510900
202401,고양시 일산동구,식사동,41285,10100,67158.97435897436,586.115873065044,4128510100
202401,고양시 일산동구,장항동,41285,10400,65400.0,714.8679877082704,4128510400
202401,고양시 일산동구,중산동,41285,10200,40978.37837837838,504.2854444009118,4128510200
202401,고양시 일산동구,풍동,41285,10700,40072.72727272727,500.42572837800674,4128510700
202401,고양시 일산서구,가좌동,41287,10600,32660.0,384.57440061566206,4128710600
202401,고양시 일산서구,대화동,41287,10400,39160.0,513.8127359304747,4128710400
202401,고양시 일산서구,덕이동,41287,10500,52871.42857142857,482.62276131498584,4128710500
202401,고양시 일산서구,일산동,41287,10100,40417.42424242424,529.290454089386,4128710100
202401,고양시 일산서구,주엽동,41287,10200,46948.529411764706,624.5173294839991,4128710200
202401,고양시 일산서구,탄현동,41287,10300,40318.831168831166,472.0447106478304,4128710300
202401,과천시,별양동,41290,10900,145550.0,1870.7658400095534,4129010900
202401,과천시,부림동,41290,11000,128611.11111111111,2132.602570377901,4129011000
202401,과천시,원문동,41290,10800,144166.66666666666,1891.5827005978513,4129010800
202401,과천시,중앙동,41290,10700,178000.0,2214.257992310115,4129010700
202401,광명시,광명동,41210,10100,60119.230769230766,975.2349326678689,4121010100
202401,광명시,소하동,41210,10400,71605.55555555556,816.5272040470652,4121010400
202401,광명시,일직동,41210,10600,105600.0,1458.3797316064108,4121010600
202401,광명시,철산동,41210,10200,74322.72727272728,1002.6687675130873,4121010200
202401,광명시,하안동,41210,10300,50789.28571428572,944.2088232643599,4121010300
202401,광주시,경안동,41610,10100,30400.0,535.7148742782446,4161010100
202401,광주시,고산동,41610,11400,45800.0,364.39147419424137,4161011400
202401,광주시,곤지암읍 곤지암리,41610,25921,22500.0,195.86336571607646,4161025921
202401,광주시,곤지암읍 삼리,41610,25936,20015.0,395.1340658702621,4161025936
202401,광주시,능평동,41610,11600,33271.42857142857,391.447453011599,4161011600
202401,광주시,매산동,41610,11900,25000.0,294.776559367999,4161011900
202401,광주시,송정동,41610,10300,37900.0,367.971870950632,4161010300
202401,광주시,신현동,41610,11500,56300.0,568.9247678196455,4161011500
202401,광주시,쌍령동,41610,10200,34703.846153846156,438.9356195035495,4161010200
202401,광주시,양벌동,41610,12000,33110.52631578947,390.7167359017527,4161012000
202401,광주시,역동,41610,11200,63333.333333333336,859.5342292268361,4161011200
202401,광주시,장지동,41610,11100,34500.0,406.7293069096825,4161011100
202401,광주시,초월읍 대쌍령리,41610,25321,37612.5,443.02407020281504,4161025321
202401,광주시,초월읍 도평리,41610,25332,26775.0,316.5461840791206,4161025332
202401,광주시,초월읍 산이리,41610,25323,33316.666666666664,414.5837545023575,4161025323
202401,광주시,초월읍 쌍동리,41610,25322,43500.0,512.2522494939301,4161025322
202401,광주시,초월읍 용수리,41610,25327,22800.0,380.63439065108514,4161025327
202401,광주시,초월읍 지월리,41610,25329,23533.333333333332,277.00860894592375,4161025329
202401,광주시,추자동,41610,11800,35000.0,412.25504688517753,4161011800
202401,광주시,탄벌동,41610,10500,46250.0,463.9514553554868,4161010500
202401,광주시,태전동,41610,11000,45194.444444444445,632.1242922396449,4161011000
202401,광주시,회덕동,41610,10400,25250.0,422.3005625821684,4161010400
202401,구리시,갈매동,41310,10100,62293.333333333336,784.5134527482513,4131010100
202401,구리시,교문동,41310,10400,65644.44444444444,963.3387983518003,4131010400
202401,구리시,수택동,41310,10500,53600.0,804.823736728204,4131010500
202401,구리시,인창동,41310,10300,55701.51515151515,828.8718862479762,4131010300
202401,구리시,토평동,41310,10700,80185.71428571429,1021.2763412668819,4131010700
202401,군포시,금정동,41410,10500,33153.333333333336,643.876080767257,4141010500
202401,군포시,당동,41410,10100,41603.44827586207,594.623625869088,4141010100
202401,군포시,당정동,41410,10200,41250.0,575.5096940770962,4141010200
202401,군포시,대야미동,41410,10800,45700.0,567.9342301032322,4141010800
202401,군포시,도마교동,41410,10900,51845.454545454544,723.1966803843486,4141010900
202401,군포시,부곡동,41410,10300,56100.0,710.1798547497406,4141010300
202401,군포시,산본동,41410,10400,51682.0987654321,696.2414760954144,4141010400
202401,김포시,감정동,41570,10500,30444.827586206895,381.104820750775,4157010500
202401,김포시,걸포동,41570,10200,61355.555555555555,788.0599464093766,4157010200
202401,김포시,고촌읍 신곡리,41570,25324,62166.666666666664,639.8368281591347,4157025324
202401,김포시,고촌읍 태리,41570,25323,59333.333333333336,699.0341247449984,4157025323
202401,김포시,고촌읍 향산리,41570,25321,56825.0,719.959302740035,4157025321
202401,김포시,구래동,41570,10900,40776.74418604651,555.6004695356788,4157010900
202401,김포시,마산동,41570,10800,39557.142857142855,520.0253811448912,4157010800
202401,김포시,북변동,41570,10100,31438.88888888889,401.6504319702683,4157010100
202401,김포시,사우동,41570,10600,44275.0,557.4470590688375,4157010600
202401,김포시,양촌읍 양곡리,41570,25621,30830.76923076923,385.7864280084384,4157025621
202401,김포시,양촌읍 학운리,41570,25626,27000.0,319.3225630957731,4157025626
202401,김포시,운양동,41570,10300,47132.558139534885,579.1066340333858,4157010300
202401,김포시,장기동,41570,10400,45579.41176470588,530.1986262605737,4157010400
202401,김포시,통진읍 도사리,41570,25021,23500.0,276.9887200763782,4157025021
202401,김포시,통진읍 마송리,41570,25022,26900.0,356.7623118980245,4157025022
202401,김포시,통진읍 서암리,41570,25023,15950.0,229.69717752974367,4157025023
202401,김포시,풍무동,41570,10700,41932.142857142855,508.00278836970944,4157010700
202401,김포시,하성면 마곡리,41570,36021,19500.0,571.5960721090429,4157036021
202401,남양주시,금곡동,41360,10300,20800.0,358.0957789000379,4136010300
202401,남양주시,다산동,41360,11200,70400.0,862.3763893677059,4136011200
202401,남양주시,별내동,41360,11100,66528.57142857143,689.4511301533026,4136011100
202401,남양주시,별내면 청학리,41360,31021,25390.909090909092,383.9672058474636,4136031021
202401,남양주시,오남읍 양지리,41360,26221,29414.285714285714,375.64506201374303,4136026221
202401,남양주시,오남읍 오남리,41360,26223,21393.75,310.6451410056013,4136026223
202401,남양주시,와부읍 덕소리,41360,25021,44271.875,586.262809187734,4136025021
202401,남양주시,와부읍 도곡리,41360,25022,51975.0,560.4767039566867,4136025022
202401,남양주시,진건읍 용정리,41360,25925,24700.0,357.61670336174615,4136025925
202401,남양주시,진건읍 진관리,41360,25923,35300.0,416.39143153722756,4136025923
202401,남양주시,진접읍 금곡리,41360,25328,41905.0,489.98769779543306,4136025328
