시도,년월,구,아파트 동명,아파트명,단지 일련번호,법정동본번코드,법정동부번코드,건축년도,거래주체정보_매수자(개인/법인/공공기관/기타),해제사유발생일,거래금액(만원),계약일,계약월,계약년도,전용면적,층,지번,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명코드,도로명일련번호코드,도로명시군구코드,법정동시군구코드,법정동읍면동코드,법정동
경기,202501,가평군,103동,가평코아루,41820-493,1053,0000,2021,개인, ,"25,000",31,1,2025,84.7532,13,1053,석봉로191번길,00037,00000,4448140,00,41820,41820,25021,가평읍 읍내리
경기,202501,가평군,102동,가평코아루,41820-493,1053,0000,2021,개인, ,"29,800",18,1,2025,84.7532,14,1053,석봉로191번길,00037,00000,4448140,00,41820,41820,25021,가평읍 읍내리
경기,202501,가평군, ,태광,41820-6,0285,0006,1992,개인, ,"8,500",22,1,2025,82.9,4,285-6,석봉로153번길,00015,00000,4448139,01,41820,41820,25022,가평읍 대곡리
경기,202501,가평군,101동,e편한세상가평퍼스트원,41820-537,0694,0000,2023,개인, ,"34,500",15,1,2025,84.8286,14,694,문화로,00167,00000,3216052,00,41820,41820,25022,가평읍 대곡리
경기,202501,가평군, ,로얄,41820-270,0626,0008,2007,개인, ,"18,700",15,1,2025,84.86,2,626-8,구청평로,00056,00000,3216005,01,41820,41820,32521,청평면 청평리
경기,202501,가평군, ,청향,41820-302,0398,0004,2011,개인, ,"21,000",10,1,2025,166.26,6,398-4,광신길,00027,00000,4448017,01,41820,41820,33025,상면 덕현리
경기,202501,가평군,102,청평삼성쉐르빌,41820-334,0837,0000,2012,개인, ,"24,500",17,1,2025,84.3,6,837,강변나루로,00054,00000,3216002,01,41820,41820,32521,청평면 청평리
경기,202501,가평군, ,우림필유1단지,41820-268,0360,0000,2006,개인, ,"26,000",31,1,2025,84.9,9,360,문화로,00112,00000,3216052,01,41820,41820,25022,가평읍 대곡리
경기,202501,가평군, ,우림필유1단지,41820-268,0360,0000,2006,개인, ,"21,200",20,1,2025,84.9,1,360,문화로,00112,00000,3216052,01,41820,41820,25022,가평읍 대곡리
경기,202501,가평군,102,에이원파란채,41820-275,0771,0001,2007,개인, ,"16,500",21,1,2025,84.842,4,771-1,가화로,00223,00000,3000142,01,41820,41820,25021,가평읍 읍내리
경기,202501,가평군, ,세대넥스빌,41820-7,0281,0000,1996,개인, ,"20,000",21,1,2025,122.28,18,281,달전로,00059,00000,3216008,01,41820,41820,25023,가평읍 달전리
경기,202501,가평군,102,청평세양청마루,41820-269,0472,0000,2007,개인, ,"23,000",18,1,2025,84.99,9,472,경춘로,00807,00045,3000120,02,41820,41820,32521,청평면 청평리
경기,202501,가평군, ,e편한세상가평퍼스트원,41820-537,0694,0000,2023,개인, ,"40,000",16,1,2025,84.8046,20,694,문화로,00167,00000,3216052,00,41820,41820,25022,가평읍 대곡리
경기,202501,가평군, ,e편한세상가평퍼스트원,41820-537,0694,0000,2023,개인, ,"30,000",8,1,2025,74.9267,17,694,문화로,00167,00000,3216052,00,41820,41820,25022,가평읍 대곡리
경기,202501,가평군, ,썬힐,41820-281,0402,0001,2008,개인, ,"15,000",11,1,2025,84.16,5,402-1,문화로,00063,00000,3216052,01,41820,41820,25022,가평읍 대곡리
경기,202501,가평군,에이,준수아파트A동,41820-3,0637,0003,1992,개인, ,"9,000",8,1,2025,60,1,637-3,중촌로,00016,00055,3216061,01,41820,41820,25021,가평읍 읍내리
경기,202501,가평군,103,청구,41820-10,0470,0037,1998,개인, ,"13,000",3,1,2025,59.83,10,470-37,경춘로,00807,00018,3000120,02,41820,41820,32521,청평면 청평리
경기,202501,가평군,102동,가평센트럴파크더스카이,41820-508,0457,0005,2022,개인, ,"29,000",2,1,2025,59.9801,23,457-5,보납로,00011,00000,3216017,00,41820,41820,25021,가평읍 읍내리
경기,202501,고양시 덕양구,1604,옥빛마을(주공)16(그린나래),41281-144,1141,0000,1996,개인, ,"30,500",14,1,2025,59.97,1,1141,백양로,00015,00000,3192027,01,41281,41281,12300,화정동
경기,202501,고양시 덕양구, ,도래울센트럴더힐,41281-2530,1010,0000,2015,개인, ,"57,300",15,1,2025,59.95,7,1010,도래울로,00086,00000,3194082,00,41281,41281,10500,도내동
경기,202501,고양시 덕양구,1302,옥빛마을(일신건영)13(휴먼빌),41281-82,0987,0000,1995,개인, ,"31,700",24,1,2025,53.12,15,987,백양로,00064,00000,3192027,01,41281,41281,12300,화정동
경기,202501,고양시 덕양구,105,현대1,41281-141,0240,0006,1997,개인, ,"22,700",23,1,2025,59.36,5,240-6,읍내로,00028,00000,3192060,01,41281,41281,11600,고양동
경기,202501,고양시 덕양구,101동,대곡역두산위브1단지,41281-3484,0913,0000,2023,개인, ,"62,000",30,1,2025,59.99,2,913,호수로,00006,00000,3192096,00,41281,41281,12000,토당동
경기,202501,고양시 덕양구, ,달빛마을(진덕),41281-68,0858,0000,1995,개인, ,"46,700",20,1,2025,84.9,15,858,화중로,00219,00000,3192088,01,41281,41281,12300,화정동
경기,202501,고양시 덕양구,1603,옥빛마을(주공)16(그린나래),41281-144,1141,0000,1996,개인, ,"31,500",25,1,2025,59.97,15,1141,백양로,00015,00000,3192027,01,41281,41281,12300,화정동
경기,202501,고양시 덕양구, ,옥빛마을(주공)17(에듀뷰),41281-83,1135,0000,1997,개인, ,"52,000",20,1,2025,84.79,20,1135,백양로,00008,00000,3192027,01,41281,41281,12300,화정동
경기,202501,고양시 덕양구, ,DMC중흥S-클래스더센트럴,41281-3215,0501,0000,2020,개인, ,"54,000",21,1,2025,59.8179,5,501,향동1로,00020,00000,3351994,00,41281,41281,13200,향동동
