시도,년월,구,아파트 동명,아파트명,단지 일련번호,법정동본번코드,법정동부번코드,건축년도,거래주체정보_매수자(개인/법인/공공기관/기타),해제사유발생일,거래금액(만원),계약일,계약월,계약년도,전용면적,층,지번,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명코드,도로명일련번호코드,도로명시군구코드,법정동시군구코드,법정동읍면동코드,법정동
서울,202501,강남구,106,개포래미안포레스트,11680-4929,1282,0000,2020,개인, ,"286,000",19,1,2025,84.86,12,1282,개포로,00264,00000,3122001,01,11680,11680,10300,개포동
서울,202501,강남구, ,개포우성1,11680-372,0503,0000,1983,개인, ,"420,000",12,1,2025,127.61,4,503,선릉로,00120,00000,3122006,00,11680,11680,10600,대치동
서울,202501,강남구, ,삼성풍림2차아파트,11680-192,0104,0000,1998,개인, ,"165,000",31,1,2025,59.94,1,104,봉은사로105길,00012,00007,4166326,01,11680,11680,10500,삼성동
서울,202501,강남구, ,개포래미안포레스트,11680-4929,1282,0000,2020,개인,25.03.01,"286,000",19,1,2025,84.86,12,1282,개포로,00264,00000,3122001,01,11680,11680,10300,개포동
서울,202501,강남구, ,삼성,11680-330,0161,0000,1994,개인, ,"212,000",25,1,2025,73.41,5,161,남부순환로379길,00014,00000,4166100,01,11680,11680,11800,도곡동
서울,202501,강남구, ,우성8,11680-285,0179,0000,1987,개인, ,"222,000",24,1,2025,79.61,6,179,개포로,00411,00000,3122001,01,11680,11680,10300,개포동
서울,202501,강남구, ,동현아파트1~6,11680-121,0105,0000,1985,개인, ,"214,500",31,1,2025,84.92,9,105,언주로146길,00018,00000,4166582,01,11680,11680,10800,논현동
서울,202501,강남구, ,신동아(22),11680-109,0022,0000,1997,개인, ,"85,700",24,1,2025,35.73,6,22,강남대로146길,00028,00000,4166019,01,11680,11680,10800,논현동
서울,202501,강남구, ,도곡렉슬,11680-3623,0527,0000,2006,개인, ,"336,000",25,1,2025,84.9984,20,527,선릉로,00221,00000,3122006,08,11680,11680,11800,도곡동
서울,202501,강남구, ,역삼래미안,11680-3621,0757,0000,2005,개인, ,"225,500",25,1,2025,59.4,12,757,선릉로69길,00019,00000,4166489,01,11680,11680,10100,역삼동
