주택관리번호,공고번호,주택명,주택구분코드,주택구분코드명,주택상세구분코드,주택상세구분코드명,분양구분코드,분양구분코드명,공급지역코드,공급지역명,공급위치우편번호,공급위치,공급규모,모집공고일,청약접수시작일,청약접수종료일,특별공급접수시작일,특별공급접수종료일,해당지역1순위접수시작일,해당지역1순위접수종료일,경기지역1순위접수시작일,경기지역1순위접수종료일,기타지역1순위접수시작일,기타지역1순위접수종료일,해당지역2순위접수시작일,해당지역2순위접수종료일,경기지역2순위접수시작일,경기지역2순위접수종료일,기타지역2순위접수시작일,기타지역2순위접수종료일,당첨자발표일,계약시작일,계약종료일,홈페이지주소,건설업체명_시공사,문의처,사업주체명_시행사,입주예정월,투기과열지구,조정대상지역,분양가상한제,정비사업,공공주택지구,대규모택지개발지구,수도권내민영공공주택지구,모집공고홈페이지주소,주택형,공급세대수,순위,거주지역,접수건수,경쟁률,최저당첨가점,최고당첨가점,평균당첨가점,정제된주택명,공급위치 by 주택명
2025000043,2025000043,부천 JY 포에시아,1,APT,1,민영,0,분양주택,410,경기,14636,경기도 부천시 원미구 신흥로 20 ,55,2025-02-28,2025-03-10,2025-03-11,,,2025-03-10,2025-03-10,,,2025-03-10,2025-03-10,2025-03-11,2025-03-11,,,2025-03-11,2025-03-11,2025-03-17,2025-03-28,2025-03-30,https://cafe.daum.net/JY8168834,(주)주영토건,0323442131,한국자산신탁(주),202504,N,N,N,N,N,N,N,https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000043&pblancNo=2025000043,043.7207J,5,1순위,해당지역,0,(△5),,,,경기 부천 JY 포에시아,경기 부천시 원미구 심곡동 465-11
2025000032,2025000032,성남판교 산운마을9단지 대방노블랜드 아파트 우선 분양전환 후 잔여세대(15세대),1,APT,3,국민,0,분양주택,410,경기,13462,"경기도 성남시 분당구 산운로 126 (운중동, 산운마을)",15,2025-02-28,2025-03-10,2025-03-11,,,2025-03-10,2025-03-10,2025-03-10,2025-03-10,2025-03-10,2025-03-10,2025-03-11,2025-03-11,2025-03-11,2025-03-11,2025-03-11,2025-03-11,2025-03-17,2025-03-28,2025-04-01,,대방건설 주식회사,15777347,대방건설 주식회사,202504,N,N,N,N,N,Y,N,https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000032&pblancNo=2025000032,059.9300,4,1순위,해당지역,57,57.00,,,,경기 성남판교 산운마을9단지 대방노블랜드 아파트,
2025000020,2025000020,e편한세상 제물포역 파크메종(조합원 취소분),1,APT,1,민영,0,분양주택,400,인천,22169,인천광역시 미추홀구 숭의동 18번지 일대,29,2025-02-21,2025-03-04,2025-03-06,2025-03-04,2025-03-04,2025-03-05,2025-03-05,,,2025-03-05,2025-03-05,2025-03-06,2025-03-06,,,2025-03-06,2025-03-06,2025-03-12,2025-03-24,2025-03-26,https://www.dlcon-apt.co.kr,디엘건설 주식회사,0323306782,숭의3주택재개발정비사업조합,202607,N,N,N,Y,N,N,N,https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000020&pblancNo=2025000020,059.9393A,5,1순위,해당지역,13,2.60,34,49,41.5,인천 e편한세상 제물포역 파크메종,인천 미추홀구 숭의동 18-1
2025000014,2025000014,평택청북 사랑으로 부영 2차 아파트 우선분양 전환 후 잔여세대,1,APT,1,민영,0,분양주택,410,경기,17809,경기도 평택시 청북읍 청북남로 277 (부영사랑으로),39,2025-02-10,2025-02-20,2025-02-21,,,2025-02-20,2025-02-20,2025-02-20,2025-02-20,2025-02-20,2025-02-20,2025-02-21,2025-02-21,2025-02-21,2025-02-21,2025-02-21,2025-02-21,2025-02-27,2025-03-10,2025-03-12,https://sarangeuro.co.kr,(주)부영주택,15775533,(주)동광주택,202503,N,N,N,N,N,Y,N,https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000014&pblancNo=2025000014,059.9605,39,1순위,해당지역,9,(△3),0,0,0,경기 평택청북 사랑으로 부영 2차 아파트,경기 평택시 청북읍 옥길리 1104
2025000013,2025000013,고양창릉지구 S-6블록 공공분양주택(본청약),1,APT,3,국민,0,분양주택,410,경기,10552,"경기도 고양시 덕양구 원흥동, 동산동, 용두동 외 6개동 일원",430,2025-01-31,2025-02-17,2025-02-21,,,2025-02-17,2025-02-19,2025-02-17,2025-02-19,2025-02-17,2025-02-19,2025-02-20,2025-02-21,2025-02-20,2025-02-21,2025-02-20,2025-02-21,2025-03-06,2025-05-08,2025-05-13,https://apply.lh.or.kr,(주)반도건설,15515711,한국토지주택공사 경기북부지역본부,202712,N,N,Y,N,Y,Y,N,https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000013&pblancNo=2025000013,059.0000O,17,1순위,해당지역,0,,,,,경기 고양창릉지구,경기 고양시 덕양구 도내동 548
2025000019,2025000019,고양창릉지구 S-5블록 공공분양주택(본청약),1,APT,3,국민,0,분양주택,410,경기,10552,"경기도 고양시 덕양구 원흥동, 동산동, 용두동 외 6개동 일원",759,2025-01-31,2025-02-17,2025-02-21,,,2025-02-17,2025-02-19,2025-02-17,2025-02-19,2025-02-17,2025-02-19,2025-02-20,2025-02-21,2025-02-20,2025-02-21,2025-02-20,2025-02-21,2025-03-06,2025-05-08,2025-05-13,https://apply.lh.or.kr,(주)이수건설,15515711,한국토지주택공사 경기북부지역본부,202801,N,N,Y,N,Y,Y,N,https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000019&pblancNo=2025000019,051.0000O,12,1순위,해당지역,0,,,,,경기 고양창릉지구,경기 고양시 덕양구 도내동 548
2025000001,2025000001,래미안 원페를라,1,APT,1,민영,0,분양주택,100,서울,6562,서울특별시 서초구 방배동 818-14번지 일대,482,2025-01-17,2025-02-03,2025-02-06,2025-02-03,2025-02-03,2025-02-04,2025-02-04,,,2025-02-05,2025-02-05,2025-02-06,2025-02-06,,,2025-02-06,2025-02-06,2025-02-12,2025-02-24,2025-02-27,https://www.raemian.co.kr,삼성물산(주),024071097,방배6구역주택재건축정비사업조합,202511,Y,Y,Y,Y,N,N,N,https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000001&pblancNo=2025000001,059.9800A,35,1순위,해당지역,"10,680",305.14,69,74,70.29,서울 래미안 원페를라,서울 서초구 방배동 818-14
2024000396,2024000396,부천 중앙하이츠 심곡 102동,1,APT,1,민영,0,분양주택,410,경기,14577,경기도 부천시 심곡동 803번지 ,40,2025-01-17,2025-01-31,2025-02-04,2025-01-31,2025-01-31,2025-02-03,2025-02-03,,,2025-02-03,2025-02-03,2025-02-04,2025-02-04,,,2025-02-04,2025-02-04,2025-02-10,2025-02-21,2025-02-25,https://blog.naver.com/hankipo,배경산업개발,0326555090,신흥연립 가로주택정비사업조합,202503,N,N,N,N,N,N,N,https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2024000396&pblancNo=2024000396,058.3229A,4,1순위,해당지역,8,2.00,24,51,37.5,경기 부천 중앙하이츠 심곡 102동,경기 부천시 원미구 심곡동 803
2025000004,2025000004,양주 용암 영무 예다음 더퍼스트,1,APT,1,민영,0,분양주택,410,경기,11429,경기도 양주시 은현면 용암리 784-8번지 일원,285,2025-01-17,2025-01-31,2025-02-04,2025-01-31,2025-01-31,2025-02-03,2025-02-03,,,2025-02-03,2025-02-03,2025-02-04,2025-02-04,,,2025-02-04,2025-02-04,2025-02-10,2025-02-21,2025-02-23,http://www.양주영무예다음.com,(주)영무토건,18772066,양주용암3지구지역주택조합,202711,N,N,N,N,N,N,N,https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000004&pblancNo=2025000004,059.9973A,155,1순위,해당지역,1,(△154),-,-,-,경기 양주 용암 영무 예다음 더퍼스트,
2024000661,2024000661,인천강화서희스타힐스 1단지(조합원 취소세대),1,APT,1,민영,0,분양주택,400,인천,23041,인천광역시 강화군 선원면 창리456번지 일원,17,2024-12-30,2025-01-09,2025-01-13,2025-01-09,2025-01-09,2025-01-10,2025-01-10,,,2025-01-10,2025-01-10,2025-01-13,2025-01-13,,,2025-01-13,2025-01-13,2025-01-17,2025-01-31,2025-02-04,https://www.gh-starhills.com,㈜서희건설,0329337019,강화지역주택조합,202502,N,N,N,N,N,N,N,https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2024000661&pblancNo=2024000661,059.9570A,7,1순위,해당지역,1,(△6),-,-,-,인천 인천강화서희스타힐스 1단지,인천 강화군 선원면 창리 456
2024000729,2024000729,래미안 센트리폴(1BL),1,APT,1,민영,0,분양주택,400,인천,21900,인천광역시 연수구 옥련동 송도역세권 도시개발구역 A1블록 ,706,2024-12-20,2024-12-30,2025-01-02,2024-12-30,2024-12-30,2024-12-31,2024-12-31,,,2024-12-31,2024-12-31,2025-01-02,2025-01-02,,,2025-01-02,2025-01-02,2025-01-09,2025-01-21,2025-01-26,https://www.raemian.co.kr,삼성물산(주),0328342549,삼성물산(주),202801,N,N,N,N,N,N,N,https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2024000729&pblancNo=2024000729,059.9800A,60,1순위,해당지역,"1,068",17.80,48,65,51.71,인천 래미안 센트리폴,인천 연수구 옥련동 104
2024000730,2024000730,래미안 센트리폴(2BL),1,APT,1,민영,0,분양주택,400,인천,21955,인천광역시 연수구 옥련동 송도역세권 도시개발구역 A2블록 ,819,2024-12-20,2024-12-30,2025-01-02,2024-12-30,2024-12-30,2024-12-31,2024-12-31,,,2024-12-31,2024-12-31,2025-01-02,2025-01-02,,,2025-01-02,2025-01-02,2025-01-08,2025-01-21,2025-01-26,https://www.raemian.co.kr,삼성물산(주),0328342549,삼성물산(주),202801,N,N,N,N,N,N,N,https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2024000730&pblancNo=2024000730,059.9200A,135,1순위,해당지역,"1,281",9.49,50,64,54.85,인천 래미안 센트리폴,인천 연수구 옥련동 104
