년월,구,법정동,법정동시군구코드,법정동읍면동코드,거래금액(만원),전용면적당 거래금액(만원),법정동코드
202501,강남구,개포동,11680,10300,237042.4516129032,3379.567199820432,1168010300
202501,강남구,논현동,11680,10800,159525.0,1940.5519813032747,1168010800
202501,강남구,대치동,11680,10600,357196.1538461539,3286.6456311942,1168010600
202501,강남구,도곡동,11680,11800,261500.0,2646.7098859783987,1168011800
202501,강남구,삼성동,11680,10500,266062.5,2930.899752183956,1168010500
202501,강남구,세곡동,11680,11100,148333.33333333334,1899.7073452519,1168011100
202501,강남구,수서동,11680,11500,178150.0,2605.400720291565,1168011500
202501,강남구,신사동,11680,10700,146000.0,1502.8306742151312,1168010700
202501,강남구,압구정동,11680,11000,520607.1428571429,4643.748304427722,1168011000
202501,강남구,역삼동,11680,10100,241156.0,3077.659230790506,1168010100
202501,강남구,일원동,11680,11400,235361.11111111112,2933.00335624418,1168011400
202501,강남구,자곡동,11680,11200,157666.66666666666,1977.423889103986,1168011200
202501,강남구,청담동,11680,10400,227916.66666666663,2563.468396439584,1168010400
202501,강동구,강일동,11740,11000,82900.0,1313.947167077941,1174011000
202501,강동구,고덕동,11740,10200,156946.875,2205.79041094441,1174010200
202501,강동구,길동,11740,10500,71461.76470588235,957.64732879182,1174010500
202501,강동구,둔촌동,11740,10600,92189.28571428572,1143.9811600771768,1174010600
202501,강동구,명일동,11740,10100,111326.31578947368,1507.863585617561,1174010100
202501,강동구,상일동,11740,10300,137135.48387096773,1833.6695433717543,1174010300
202501,강동구,성내동,11740,10800,81520.0,1158.3246572046387,1174010800
202501,강동구,암사동,11740,10700,108804.16666666669,1560.577660888365,1174010700
202501,강동구,천호동,11740,10900,79116.66666666667,1134.1161598429424,1174010900
202501,강북구,미아동,11305,10100,72800.0,935.4953026256322,1130510100
202501,강북구,번동,11305,10200,44354.545454545456,852.6362011887235,1130510200
202501,강북구,수유동,11305,10300,31825.0,574.1543708954508,1130510300
202501,강북구,우이동,11305,10400,44750.0,673.1412921092499,1130510400
202501,강서구,가양동,11500,10400,75423.6,1376.9184571115732,1150010400
202501,강서구,내발산동,11500,10600,96062.5,1127.0115569197983,1150010600
202501,강서구,등촌동,11500,10200,75788.88888888889,1129.3742640184491,1150010200
202501,강서구,마곡동,11500,10500,106211.11111111112,1459.1963387896135,1150010500
202501,강서구,방화동,11500,10900,57198.52941176471,953.7519366285638,1150010900
202501,강서구,염창동,11500,10100,90189.28571428572,1215.2216973857762,1150010100
202501,강서구,화곡동,11500,10300,70806.75675675676,1056.6587012719078,1150010300
202501,관악구,남현동,11620,10300,50000.0,1496.55791679138,1162010300
202501,관악구,봉천동,11620,10100,77815.0,1123.549961268413,1162010100
202501,관악구,신림동,11620,10200,62994.0,976.4642089558894,1162010200
202501,광진구,광장동,11215,10400,160816.17647058822,1867.525678361584,1121510400
202501,광진구,구의동,11215,10300,130809.09090909093,1685.3400357062326,1121510300
202501,광진구,군자동,11215,10900,79333.33333333333,1177.5139274686996,1121510900
202501,광진구,자양동,11215,10500,125021.05263157896,1580.9710505722887,1121510500
202501,광진구,중곡동,11215,10100,41225.0,859.3437559611576,1121510100
202501,광진구,화양동,11215,10700,36633.333333333336,1160.8329369019923,1121510700
202501,구로구,개봉동,11530,10700,69292.39130434782,930.7007669129028,1153010700
202501,구로구,고척동,11530,10600,60988.88888888889,891.1737113268946,1153010600
