연월,시도,30대 이하 당첨건수,40대 당첨건수,50대 당첨건수,60대 이상 당첨건수
202501,서울,157,194,106,25
202412,서울,403,240,111,46
202411,서울,1526,931,353,157
202410,서울,262,241,107,32
202409,서울,204,132,70,18
202408,서울,846,633,295,104
202407,서울,705,514,196,55
202406,서울,288,176,67,23
202405,서울,309,118,38,13
202404,서울,104,7,1,2
202402,서울,132,74,23,11
202401,서울,152,86,31,21
202312,서울,548,238,91,45
202311,서울,269,123,46,28
202310,서울,1284,535,185,101
202309,서울,195,84,19,11
202308,서울,1212,506,168,103
202307,서울,358,234,151,46
202306,서울,219,95,54,21
202305,서울,162,98,52,15
202304,서울,151,48,13,6
202303,서울,419,153,83,45
202302,서울,488,177,74,36
202212,서울,90,106,56,20
202211,서울,2937,2452,942,495
202208,서울,165,38,15,12
202206,서울,27,6,2,0
202205,서울,55,21,10,3
202204,서울,129,190,65,45
202203,서울,200,175,48,36
202202,서울,255,91,51,26
202201,서울,70,157,73,27
202111,서울,38,39,27,10
202109,서울,175,230,153,35
202108,서울,31,21,11,4
202107,서울,92,67,27,13
202106,서울,2,130,78,14
202105,서울,200,130,31,19
202104,서울,40,39,23,10
202103,서울,13,8,10,3
202102,서울,259,306,218,48
202012,서울,268,298,196,47
202011,서울,829,493,274,179
202010,서울,20,56,40,11
202009,서울,71,22,5,1
202008,서울,425,657,453,125
202007,서울,771,1729,915,292
202006,서울,669,461,240,177
202005,서울,176,490,204,59
202004,서울,169,243,99,27
202003,서울,3,42,16,6
202412,인천,884,324,197,132
202411,인천,451,118,41,24
202410,인천,1174,508,250,137
202409,인천,1049,456,181,48
202408,인천,410,180,81,51
202407,인천,1142,324,156,73
202406,인천,113,27,12,2
202404,인천,586,243,165,62
202402,인천,1240,709,397,213
202401,인천,228,99,38,28
202312,인천,803,321,132,83
202311,인천,995,571,282,114
202310,인천,562,137,44,38
202309,인천,1639,780,342,205
202307,인천,589,266,186,83
202306,인천,353,124,55,23
202305,인천,19,3,0,0
202304,인천,142,83,16,14
202303,인천,610,306,135,79
202302,인천,216,74,54,20
202301,인천,58,14,1,2
202212,인천,243,50,38,12
202210,인천,233,124,89,34
202209,인천,166,71,28,7
202208,인천,483,312,108,57
202207,인천,1439,299,101,71
202206,인천,681,129,37,33
202205,인천,604,139,48,33
202204,인천,70,45,31,16
202203,인천,1946,1230,523,291
202202,인천,975,408,180,104
202201,인천,598,286,160,70
202112,인천,1878,1142,444,211
202111,인천,2863,1617,730,406
202110,인천,54,29,10,3
202109,인천,1119,401,176,89
202108,인천,86,59,19,16
202107,인천,346,237,156,73
202106,인천,639,351,157,81
202105,인천,1117,353,125,66
202104,인천,2359,1278,443,267
202103,인천,591,308,124,58
202102,인천,50,40,19,8
202101,인천,1816,1171,448,244
202012,인천,2451,880,421,290
202007,인천,1337,409,168,103
202006,인천,1987,754,454,238
202005,인천,3990,1484,874,485
202004,인천,394,158,56,22
202003,인천,1920,735,365,181
202501,경기,51,11,7,3
202412,경기,1287,470,209,131
202411,경기,1618,715,373,175
202410,경기,3337,1301,808,491
202409,경기,2768,1285,724,368
202408,경기,2371,1022,699,367
202407,경기,797,428,174,57
202406,경기,3014,1593,868,456
202405,경기,2379,991,446,194
202404,경기,1141,381,150,70
202402,경기,2159,713,350,183
202401,경기,909,365,166,63
202312,경기,3613,1668,875,396
202311,경기,1885,1007,479,227
202310,경기,4900,2744,1292,675
202309,경기,728,269,122,47
202308,경기,396,107,40,18
202307,경기,1030,383,179,100
202306,경기,2582,1440,1009,378
202305,경기,1005,466,181,94
202304,경기,2435,1135,564,225
202303,경기,1187,489,227,85
202302,경기,684,297,168,92
202301,경기,97,67,45,21
202212,경기,2033,843,372,262
202211,경기,2281,1211,602,283
202210,경기,3296,1677,806,393
202209,경기,662,229,111,72
202208,경기,1720,415,186,97
202207,경기,580,192,82,38
202206,경기,1426,596,339,206
202205,경기,2137,870,396,182
202204,경기,1114,573,342,208
202203,경기,2892,1114,605,373
202202,경기,3309,1199,581,290
202201,경기,3810,1515,846,503
202112,경기,4547,1870,873,441
202111,경기,2016,1102,528,240
202110,경기,3021,1617,839,423
202109,경기,3135,1653,840,501
202108,경기,1917,503,274,165
202107,경기,2446,1236,609,290
202106,경기,3213,1598,640,340
202105,경기,1923,1099,511,296
202104,경기,3621,1463,711,323
202103,경기,2305,1355,573,318
202102,경기,4052,1872,1026,674
202101,경기,2090,1248,681,342
202012,경기,2057,919,388,200
202011,경기,6103,2581,1131,641
202010,경기,4541,2763,1429,610
202009,경기,2601,1426,497,319
202008,경기,4562,1639,696,336
202007,경기,5312,2441,1193,709
202006,경기,3162,1700,865,469
202005,경기,3423,2288,1056,477
202004,경기,3129,1327,527,295
202003,경기,859,547,310,145
