연월,시도,30대 이하 신청건수,40대 신청건수,50대 신청건수,60대 이상 신청건수
202501,서울,29368,19287,6625,3484
202412,서울,5649,1797,679,389
202411,서울,83524,31464,9972,5080
202410,서울,60856,39238,14854,7752
202409,서울,61378,47041,17843,8493
202408,서울,64875,32897,12246,6621
202407,서울,103049,59265,23769,11776
202406,서울,34961,12915,4385,2204
202405,서울,35750,19265,7892,3324
202404,서울,293,23,7,2
202402,서울,10125,3350,1008,526
202401,서울,26417,13383,4656,2543
202312,서울,16157,5167,1858,1105
202311,서울,31185,9093,2812,1759
202310,서울,28674,8850,2977,1884
202309,서울,9046,2099,519,278
202308,서울,49452,15779,5305,3109
202307,서울,34210,15286,6988,3773
202306,서울,25519,5937,1959,1141
202305,서울,13007,4128,1438,691
202304,서울,458,108,40,18
202303,서울,15211,4703,1708,968
202302,서울,20341,5483,1783,1048
202212,서울,8775,2201,682,433
202211,서울,21885,8804,3483,2429
202208,서울,715,105,29,20
202206,서울,454,46,17,6
202205,서울,900,89,31,8
202204,서울,14644,2269,552,306
202203,서울,8459,1152,290,170
202202,서울,27321,5009,1442,649
202201,서울,14726,3119,966,549
202111,서울,12895,3399,1144,524
202109,서울,85141,46524,21802,12001
202108,서울,2705,355,110,40
202107,서울,4229,492,165,86
202106,서울,17323,11745,4830,2218
202105,서울,6693,988,301,158
202104,서울,4130,686,211,105
202103,서울,4835,725,219,126
202102,서울,59681,28807,13538,7516
202012,서울,76663,34257,16336,10159
202011,서울,67607,26648,11639,6151
202010,서울,21310,6786,2216,1151
202009,서울,799,106,24,10
202008,서울,101530,37035,14657,8053
202007,서울,105020,40066,17368,10029
202006,서울,39543,10540,4513,2818
202005,서울,39539,13368,5379,2870
202004,서울,27307,6914,2412,1288
202003,서울,4312,2591,940,515
202412,인천,8775,4069,2852,1971
202411,인천,574,182,55,35
202410,인천,11635,6290,4085,2469
202409,인천,6842,2161,917,421
202408,인천,1690,1483,724,448
202407,인천,5674,1675,693,421
202406,인천,1124,454,191,75
202404,인천,841,316,191,72
202402,인천,3062,2119,1217,623
202401,인천,5876,3478,1436,787
202312,인천,10277,5501,2397,1382
202311,인천,1387,881,429,190
202310,인천,1777,917,303,221
202309,인천,21432,11716,4699,2680
202307,인천,788,353,219,104
202306,인천,4541,2559,1178,599
202305,인천,28,3,0,0
202304,인천,165,89,19,14
202303,인천,1218,732,327,164
202302,인천,283,143,80,27
202301,인천,61,14,1,2
202212,인천,312,93,60,26
202210,인천,297,153,109,41
202209,인천,200,83,30,10
202208,인천,6922,2962,1164,672
202207,인천,5428,1038,370,221
202206,인천,1995,504,221,139
202205,인천,3217,649,268,165
202204,인천,2893,450,185,99
202203,인천,54203,23547,11015,6390
202202,인천,6102,2335,1182,683
202201,인천,3214,1673,968,498
202112,인천,57673,21510,10019,5815
202111,인천,33299,12837,6761,3961
202110,인천,1958,525,213,97
202109,인천,16103,4640,2154,1234
202108,인천,4511,940,395,224
202107,인천,17131,5557,3159,1965
202106,인천,9066,3209,1569,893
202105,인천,6697,1482,720,350
202104,인천,42617,13076,5181,3363
202103,인천,6157,2255,1134,599
202102,인천,3036,1008,556,292
202101,인천,23843,9897,5012,2985
202012,인천,27059,7581,3908,2403
202007,인천,4679,1578,740,377
202006,인천,31848,13467,8565,5012
202005,인천,99187,44866,27598,16205
202004,인천,10677,3666,1578,1046
202003,인천,65262,28318,15794,9314
202501,경기,147,23,10,3
202412,경기,3189,1161,534,292
202411,경기,6856,3253,1575,786
202410,경기,8517,3393,2085,1188
202409,경기,29230,13140,6148,3589
202408,경기,3808,1718,1151,611
202407,경기,23292,12514,5492,2880
202406,경기,224551,86776,40466,21246
202405,경기,7307,3504,1751,839
202404,경기,8218,3104,1522,818
202402,경기,8884,3731,1751,901
202401,경기,1443,478,208,84
202312,경기,13727,6612,3465,1847
202311,경기,24597,14523,6198,3444
202310,경기,98351,46848,20978,10827
202309,경기,4738,1475,588,281
202308,경기,1282,322,100,51
202307,경기,13405,6131,2588,1405
202306,경기,6312,3856,2485,993
202305,경기,23272,16143,6869,3631
202304,경기,10368,5149,2549,1199
202303,경기,6137,2158,1105,476
202302,경기,2741,1050,599,370
202301,경기,106,71,48,21
202212,경기,3517,1673,738,467
202211,경기,8430,5045,2409,1038
202210,경기,14229,7015,3427,1852
202209,경기,5643,1434,654,374
202208,경기,6483,1961,866,435
202207,경기,986,334,135,59
202206,경기,25399,9516,3937,2066
202205,경기,20805,6984,3198,1572
202204,경기,19335,5850,2579,1378
202203,경기,30090,8547,4295,2735
202202,경기,29098,8404,3762,2272
202201,경기,40791,14161,7727,5235
202112,경기,64115,20720,10841,6558
202111,경기,71624,25822,11781,6538
202110,경기,73740,25398,12092,7546
202109,경기,67844,27511,11888,6688
202108,경기,55390,18564,7966,3934
202107,경기,37804,12404,6089,3279
202106,경기,40154,12925,5748,3548
202105,경기,43295,14148,6173,3228
202104,경기,184061,80985,37543,21042
202103,경기,45821,15257,7049,3860
202102,경기,36495,13303,7612,5156
202101,경기,26128,11993,6691,4345
202012,경기,90740,29730,11674,6616
202011,경기,60194,21092,9083,4925
202010,경기,443265,236021,120864,66163
202009,경기,25791,9112,4339,2390
202008,경기,30631,8971,3779,1967
202007,경기,80691,30852,15995,8643
202006,경기,38162,12405,6449,3234
202005,경기,104189,47314,23834,12948
202004,경기,62318,19696,8580,4428
202003,경기,24191,9687,5176,2625
