주택관리번호,공고번호,주택형,공급세대수,순위,거주지역,접수건수,경쟁률,최저당첨가점,최고당첨가점,평균당첨가점
2025000043,2025000043,043.7207J,5,1순위,해당지역,0,(△5),,,
2025000043,2025000043,043.7207J,5,1순위,기타지역,15,3.00,,,
2025000043,2025000043,043.7207J,5,2순위,해당지역,3,-,,,
2025000043,2025000043,043.7207J,5,2순위,기타지역,10,-,,,
2025000043,2025000043,043.7207K,5,1순위,해당지역,1,(△4),,,
2025000043,2025000043,043.7207K,5,1순위,기타지역,7,1.75,,,
2025000043,2025000043,043.7207K,5,2순위,해당지역,2,-,,,
2025000043,2025000043,043.7207K,5,2순위,기타지역,2,-,,,
2025000043,2025000043,056.2836B,5,1순위,해당지역,2,(△3),,,
2025000043,2025000043,056.2836B,5,1순위,기타지역,5,1.67,,,
2025000043,2025000043,056.2836B,5,2순위,해당지역,1,-,,,
2025000043,2025000043,056.2836B,5,2순위,기타지역,1,-,,,
2025000043,2025000043,056.4780C,5,1순위,해당지역,2,(△3),,,
2025000043,2025000043,056.4780C,5,1순위,기타지역,2,(△1),,,
2025000043,2025000043,056.4780C,5,2순위,해당지역,0,(△1),,,
2025000043,2025000043,056.4780C,5,2순위,기타지역,4,4.00,,,
2025000043,2025000043,060.4254A,5,1순위,해당지역,0,(△5),,,
2025000043,2025000043,060.4254A,5,1순위,기타지역,2,(△3),,,
2025000043,2025000043,060.4254A,5,2순위,해당지역,0,(△3),,,
2025000043,2025000043,060.4254A,5,2순위,기타지역,2,(△1),,,
2025000043,2025000043,061.4353I,5,1순위,해당지역,0,(△5),,,
2025000043,2025000043,061.4353I,5,1순위,기타지역,2,(△3),,,
2025000043,2025000043,061.4353I,5,2순위,해당지역,0,(△3),,,
2025000043,2025000043,061.4353I,5,2순위,기타지역,1,(△2),,,
2025000043,2025000043,063.2969E,5,1순위,해당지역,2,(△3),,,
2025000043,2025000043,063.2969E,5,1순위,기타지역,2,(△1),,,
2025000043,2025000043,063.2969E,5,2순위,해당지역,0,(△1),,,
2025000043,2025000043,063.2969E,5,2순위,기타지역,0,(△1),,,
2025000043,2025000043,066.9924D,5,1순위,해당지역,0,(△5),,,
2025000043,2025000043,066.9924D,5,1순위,기타지역,3,(△2),,,
2025000043,2025000043,066.9924D,5,2순위,해당지역,0,(△2),,,
2025000043,2025000043,066.9924D,5,2순위,기타지역,0,(△2),,,
2025000043,2025000043,066.8153G,5,1순위,해당지역,1,(△4),,,
2025000043,2025000043,066.8153G,5,1순위,기타지역,1,(△3),,,
2025000043,2025000043,066.8153G,5,2순위,해당지역,0,(△3),,,
2025000043,2025000043,066.8153G,5,2순위,기타지역,1,(△2),,,
2025000043,2025000043,069.4330F,5,1순위,해당지역,0,(△5),,,
2025000043,2025000043,069.4330F,5,1순위,기타지역,0,(△5),,,
2025000043,2025000043,069.4330F,5,2순위,해당지역,0,(△5),,,
2025000043,2025000043,069.4330F,5,2순위,기타지역,1,(△4),,,
2025000043,2025000043,073.9377H,5,1순위,해당지역,3,(△2),,,
2025000043,2025000043,073.9377H,5,1순위,기타지역,4,2.00,,,
2025000043,2025000043,073.9377H,5,2순위,해당지역,1,-,,,
2025000043,2025000043,073.9377H,5,2순위,기타지역,12,-,,,
2025000032,2025000032,059.9300,4,1순위,해당지역,57,57.00,,,
2025000032,2025000032,059.9300,4,1순위,기타경기,50,106.00,,,
2025000032,2025000032,059.9300,4,1순위,기타지역,51,78.00,,,
2025000032,2025000032,059.9300,4,2순위,해당지역,0,-,,,
2025000032,2025000032,059.9300,4,2순위,기타경기,0,-,,,
2025000032,2025000032,059.9300,4,2순위,기타지역,0,-,,,
2025000032,2025000032,084.9900A,7,1순위,해당지역,37,18.50,,,
2025000032,2025000032,084.9900A,7,1순위,기타경기,54,89.00,,,
2025000032,2025000032,084.9900A,7,1순위,기타지역,51,34.75,,,
