공고번호,apartment,기사 번호,토픽 1,토픽 2,토픽 3,토픽 4,토픽 5,토픽 6,토픽 7,주요 토픽
2020000277,인천검단신도시3차 노블랜드 리버파크,1939,0.0014666666666666665,0.22350000000000003,0.0014666666666666665,0.6245666666666666,0.1459,0.0014666666666666665,0.0014666666666666665,토픽 4
2020000295,영통자이,1931,0.08979999999999999,0.023566666666666666,0.09899999999999999,0.3379666666666667,0.15403333333333333,0.2770333333333333,0.01863333333333333,토픽 4
2020000298,시흥장현 영무예다음,1951,0.0622,0.15796666666666667,0.0009000000000000001,0.5175666666666666,0.1686,0.0074333333333333335,0.08533333333333333,토픽 4
2020000306,부평역 한라비발디 트레비앙,1928,0.0011333333333333334,0.45283333333333337,0.04633333333333333,0.09019999999999999,0.4073,0.0011,0.0011,토픽 2
2020000311,안산 푸르지오 브리파크,1945,0.0015333333333333334,0.2662333333333333,0.06010000000000001,0.5126333333333334,0.09036666666666666,0.02036666666666667,0.0487,토픽 4
2020000312,르엘 신반포,1948,0.11616666666666668,0.24026666666666666,0.0010333333333333334,0.4077,0.1858,0.0010666666666666667,0.047966666666666664,토픽 4
2020000332,양주회천신도시 노블랜드 A16블록 센트럴 시티,1922,0.0008333333333333334,0.2954333333333333,0.06906666666666665,0.018900000000000004,0.5893333333333334,0.0008333333333333334,0.025699999999999997,토픽 5
2020000333,부천 원종 길성그랑프리텔,1942,0.010133333333333333,0.06753333333333333,0.10149999999999999,0.02953333333333333,0.029299999999999996,0.7188333333333333,0.04323333333333334,토픽 6
2020000338,등촌역 한울에이치밸리움,1934,0.00235,0.00235,0.00235,0.10135000000000001,0.00235,0.06405,0.82515,토픽 7
2020000340,인천 검단신도시 우미린 에코뷰,1936,0.038233333333333334,0.27286666666666665,0.0006666666666666666,0.5095666666666666,0.1771666666666667,0.0006666666666666666,0.0006666666666666666,토픽 4
2020000411,더샵 광교산퍼스트파크,1925,0.0013333333333333333,0.09363333333333335,0.6300333333333333,0.2319,0.0013333333333333333,0.0013666666666666664,0.040466666666666665,토픽 3
2020000416,호반써밋 목동,1919,0.0158,0.6708666666666666,0.0012333333333333335,0.21663333333333334,0.0012333333333333335,0.09316666666666666,0.0012333333333333335,토픽 2
2020000429,시화MTV 공동2블록 더 퍼스트 시흥,1916,0.008966666666666666,0.4613333333333333,0.155,0.09606666666666668,0.0012333333333333335,0.0721,0.20526666666666668,토픽 2
2020000446,의정부역 진산엔월드메르디앙,1913,0.0014999999999999998,0.0014999999999999998,0.0014999999999999998,0.06186666666666666,0.0014999999999999998,0.10503333333333333,0.8270333333333334,토픽 7
2020000468,고양덕은 DMC리버파크자이(A4BL),1910,0.0085,0.0011333333333333332,0.05196666666666666,0.17433333333333334,0.31170000000000003,0.3172,0.13526666666666667,토픽 6
2020000482,고양덕은 DMC리버포레자이(A7BL),1907,0.19683333333333333,0.0010333333333333334,0.04296666666666666,0.3509333333333333,0.15143333333333334,0.11053333333333333,0.14636666666666667,토픽 4
2020000484,의정부 롯데캐슬 골드포레,1904,0.0014,0.48756666666666665,0.2720666666666667,0.06906666666666667,0.0014,0.04043333333333333,0.12813333333333335,토픽 2
2020000503,우장산숲아이파크,1898,0.0176,0.3057666666666667,0.0009000000000000001,0.46449999999999997,0.2093666666666667,0.0009333333333333333,0.0009000000000000001,토픽 4
2020000509,안양호계 신원아침도시,1866,0.12190000000000001,0.5658,0.0010333333333333334,0.12773333333333334,0.14880000000000002,0.0010333333333333334,0.03376666666666667,토픽 2
2020000513,신동탄포레자이,1901,0.017366666666666666,0.020633333333333333,0.017866666666666666,0.6309333333333333,0.31103333333333333,0.0010666666666666667,0.0010333333333333334,토픽 4
2020000523,DMC리버시티자이,1875,0.11976666666666665,0.33536666666666665,0.1769666666666667,0.10313333333333334,0.0012,0.12346666666666667,0.1401,토픽 2
2020000545,영종국제도시 화성파크드림2차,1883,0.02633333333333333,0.0009000000000000001,0.31256666666666666,0.15016666666666667,0.1241,0.15523333333333333,0.2308,토픽 3
2020000547,부평 중앙하이츠 프리미어,1886,0.012400000000000001,0.14126666666666668,0.17456666666666668,0.26543333333333335,0.12430000000000001,0.28073333333333333,0.0014333333333333333,토픽 6
2020000551,흑석리버파크자이,1880,0.04323333333333334,0.025366666666666666,0.0008333333333333334,0.6056666666666667,0.1474,0.10763333333333334,0.06983333333333333,토픽 4
2020000554,양주 옥정신도시 제일풍경채 Lake City(A10-2BL),1889,0.04016666666666666,0.0006666666666666666,0.09566666666666668,0.11833333333333333,0.007233333333333334,0.7373,0.0006666666666666666,토픽 6
2020000555,양주 옥정신도시 A-17(1)블록 대성베르힐,1862,0.0006,0.6796,0.1135,0.0183,0.1868,0.0006,0.0006,토픽 2
2020000558,광명 푸르지오 센트베르,1895,0.22393333333333335,0.4194,0.053200000000000004,0.13806666666666667,0.0635,0.0008,0.10106666666666668,토픽 2
2020000559,"하남 포웰시티 B6,C2,C3(취소후재공급)",1892,0.44283333333333336,0.13943333333333333,0.0018333333333333333,0.2618666666666667,0.0018333333333333333,0.0018333333333333333,0.1505,토픽 1
2020000565,이안논현오션파크,1823,0.0008,0.10376666666666666,0.0008,0.35603333333333337,0.0008,0.020733333333333333,0.517,토픽 7
2020000566,용인 명지대역 서희스타힐스,1878,0.0014,0.00135,0.00135,0.00135,0.8614999999999999,0.00135,0.13165,토픽 5
2020000586,동탄역 헤리엇,1872,0.10533333333333333,0.27066666666666667,0.0009000000000000001,0.3318666666666667,0.2894333333333334,0.0009000000000000001,0.0009000000000000001,토픽 4
2020000592,포천 모아엘가 리더스파크,1846,0.1186,0.0007,0.0007,0.1731,0.0007,0.7054,0.0007,토픽 6
2020000594,부평삼산 신원아침도시,1845,0.0008,0.3768,0.0009,0.0684,0.0177,0.5346,0.0009,토픽 6
2020000600,하남감일 한양수자인,1863,0.0007333333333333332,0.45136666666666664,0.0113,0.3756333333333333,0.15956666666666666,0.0007333333333333332,0.0007333333333333332,토픽 2
2020000608,상도역 롯데캐슬,1859,0.0015999999999999999,0.47303333333333336,0.011633333333333334,0.14653333333333332,0.005866666666666667,0.07726666666666666,0.2841,토픽 2
2020000611,더샵 송도센터니얼,1869,0.0011,0.30976666666666663,0.11606666666666667,0.5022333333333333,0.051766666666666676,0.0011,0.018,토픽 4
2020000615,기흥 푸르지오 포레피스,1762,0.009766666666666667,0.03216666666666667,0.0013666666666666664,0.17353333333333332,0.0013666666666666664,0.21130000000000002,0.5705,토픽 7
2020000616,북청라 하우스토리,1826,0.0008,0.0008,0.1101,0.1283,0.7583,0.0008,0.0008,토픽 5
2020000618,화서역 푸르지오 브리시엘,1856,0.0019666666666666665,0.27153333333333335,0.09356666666666667,0.17466666666666666,0.0019333333333333336,0.1734333333333333,0.28296666666666664,토픽 7
2020000631,공항동 발쿠치네 하우스,1831,0.0008,0.0008,0.1101,0.1283,0.7583,0.0008,0.0008,토픽 5
2020000633,검암역 로열파크씨티 푸르지오 1단지,1850,0.055066666666666673,0.2240333333333333,0.15453333333333333,0.36800000000000005,0.02563333333333333,0.114,0.0587,토픽 4
2020000634,검암역 로열파크씨티 푸르지오 2단지,1853,0.021533333333333335,0.08579999999999999,0.0695,0.7254,0.07233333333333335,0.0009333333333333333,0.024433333333333335,토픽 4
2020000649,부평 SK VIEW 해모로,1836,0.0011333333333333334,0.37999999999999995,0.21833333333333335,0.07563333333333333,0.013900000000000001,0.25233333333333335,0.058633333333333336,토픽 2
