연월,시도,30대 이하,40대,50대,60대 이상
"2020-02","서울",32635,12302,5215,2953
"2020-02","부산",9190,3649,2223,2010
"2020-02","대구",30455,14673,7477,5815
"2020-02","인천",7391,4739,2464,1339
"2020-02","울산",13,4,1,2
"2020-02","경기",149628,60207,34226,17864
"2020-02","강원",248,141,89,48
"2020-02","충남",1464,639,378,175
"2020-02","전남",252,217,96,61
"2020-02","경북",578,304,171,100
"2020-02","제주",86,47,16,6
"2020-03","서울",4312,2591,940,515
"2020-03","부산",11347,4742,2322,2313
"2020-03","대구",14298,5098,2275,1950
"2020-03","인천",65262,28318,15794,9314
"2020-03","경기",24191,9687,5176,2625
"2020-03","강원",5,0,1,0
"2020-03","충북",1070,709,596,277
"2020-03","전남",17128,9227,5404,2762
"2020-03","제주",4,1,0,0
"2020-04","서울",27307,6914,2412,1288
"2020-04","부산",5991,2512,1953,1541
"2020-04","대구",17317,8099,3645,3053
"2020-04","인천",10677,3666,1578,1046
"2020-04","대전",8268,3304,1872,1156
"2020-04","경기",62318,19696,8580,4428
"2020-04","강원",9,2,1,1
"2020-04","충남",1629,1043,525,290
"2020-04","전북",5326,2011,773,708
"2020-04","전남",3283,1836,1056,522
"2020-04","경북",6,1,0,0
"2020-04","경남",37,30,9,2
"2020-05","서울",39539,13368,5379,2870
"2020-05","부산",23840,10469,5638,5444
"2020-05","대구",33596,15698,8495,5710
"2020-05","인천",99187,44866,27598,16205
"2020-05","광주",21106,9550,4452,2788
"2020-05","대전",16229,7343,4177,2526
"2020-05","울산",10145,5276,2266,1326
"2020-05","경기",104189,47314,23834,12948
"2020-05","강원",2498,1809,1219,759
"2020-05","충북",2,0,2,2
"2020-05","전북",597,374,177,126
"2020-05","전남",12402,4924,2980,1259
"2020-05","경북",144,95,41,24
"2020-05","경남",3082,1401,1050,363
"2020-05","제주",39,5,4,2
"2020-06","서울",39543,10540,4513,2818
"2020-06","부산",27426,13048,6955,6176
"2020-06","대구",739,334,261,125
"2020-06","인천",31848,13467,8565,5012
"2020-06","광주",7558,3268,1598,1005
"2020-06","울산",8642,2956,1149,659
"2020-06","경기",38162,12405,6449,3234
"2020-06","강원",7,0,1,0
"2020-06","충북",1737,850,492,265
"2020-06","충남",2570,1987,1198,733
"2020-06","전북",324,272,99,38
"2020-06","전남",52,30,14,7
"2020-06","경남",3971,2642,2107,1332
"2020-06","제주",4,2,0,0
"2020-07","서울",105020,40066,17368,10029
