구분,지역,2023-01(1순위),2023-01(2순위),2023-02(1순위),2023-02(2순위),2023-03(1순위),2023-03(2순위),2023-04(1순위),2023-04(2순위),2023-05(1순위),2023-05(2순위),2023-06(1순위),2023-06(2순위),2023-07(1순위),2023-07(2순위),2023-08(1순위),2023-08(2순위),2023-09(1순위),2023-09(2순위),2023-10(1순위),2023-10(2순위),2023-11(1순위),2023-11(2순위),2023-12(1순위),2023-12(2순위)
종합저축,서울,3855964,2227870,3850682,2215951,3850872,2202641,3852609,2192468,3849709,2182941,3847242,2177076,3846571,2172934,3845299,2175974,3845059,2174124,3836014,2170845,3825565,2175977,3817594,2167080
종합저축,인천·경기,6259139,2327956,6230218,2327317,6205098,2329227,6193791,2325437,6176193,2321660,6160963,2322799,6143406,2327382,6122959,2342006,6117985,2345220,6112913,2348449,6092485,2358104,6071464,2353712
종합저축,5대광역시,3181596,1930648,3157976,1930294,3135966,1931269,3122686,1928759,3108988,1924624,3095917,1921760,3083348,1920345,3071570,1924687,3066418,1924384,3052173,1920115,3037986,1917774,2986816,1944064
종합저축,기타지역,4155558,2297916,4134798,2290536,4114538,2287516,4107466,2280486,4097941,2274013,4086070,2270237,4076877,2266430,4063614,2269776,4063547,2265813,4052218,2258964,4041525,2254574,4024983,2247809
청약저축,서울,141866,24734,140889,24639,139982,24550,139261,24487,138526,24406,137827,24329,137088,24267,136377,24206,135808,24135,135108,24064,134370,24000,133558,23949
청약저축,인천·경기,95825,18939,95107,18891,94365,18844,93784,18801,93240,18769,92662,18721,92098,18685,91561,18638,91145,18607,90581,18568,89983,18533,89375,18488
청약저축,5대광역시,26245,16978,25958,16950,25710,16904,25516,16862,25331,16829,25164,16794,24986,16766,24792,16728,24652,16701,24472,16669,24296,16637,24137,16607
청약저축,기타지역,35586,18158,35216,18125,34879,18073,34639,18035,34397,17996,34140,17958,33914,17917,33652,17891,33476,17865,33245,17831,32950,17799,32703,17760
청약부금,서울,59519,9695,59202,9668,58897,9625,58637,9585,58406,9543,58134,9515,57876,9480,57644,9454,57431,9425,57174,9399,56870,9375,56624,9352
청약부금,인천·경기,39610,10932,39383,10886,39124,10847,38951,10832,38755,10789,38565,10746,38380,10720,38204,10677,38058,10638,37854,10595,37669,10551,37476,10528
청약부금,5대광역시,18376,5690,18235,5672,18082,5651,17989,5636,17887,5607,17782,5584,17696,5571,17580,5554,17478,5533,17376,5514,17240,5493,17135,5478
청약부금,기타지역,8711,4795,8648,4779,8578,4760,8531,4752,8491,4741,8445,4728,8414,4708,8365,4694,8342,4690,8293,4676,8251,4654,8209,4640
청약예금(85㎡ 이하),서울,130964,0,130254,0,129616,0,129136,0,128608,0,128079,0,127636,0,127161,0,126729,0,126215,0,125687,0,125274,0
청약예금(85㎡ 이하),인천·경기,43023,0,42791,0,42539,0,42367,0,42176,0,41997,0,41832,0,41635,0,41481,0,41218,0,41028,0,40827,0
청약예금(85㎡ 이하),5대광역시,48168,0,47705,0,47279,0,46940,0,46653,0,46356,0,46036,0,45697,0,45488,0,45222,0,44908,0,44631,0
청약예금(85㎡ 이하),기타지역,12082,0,11977,0,11890,0,11828,0,11759,0,11664,0,11583,0,11508,0,11466,0,11413,0,11331,0,11273,0
청약예금(102㎡ 이하),서울,120645,0,119895,0,119277,0,118764,0,118298,0,117907,0,117499,0,117106,0,116729,0,116279,0,115756,0,115262,0
청약예금(102㎡ 이하),인천·경기,162618,0,161661,0,160771,0,160081,0,159388,0,158718,0,158052,0,157306,0,156635,0,155978,0,155280,0,154651,0
청약예금(102㎡ 이하),5대광역시,42246,0,41865,0,41519,0,41277,0,41007,0,40755,0,40535,0,40264,0,40052,0,39824,0,39589,0,39370,0
청약예금(102㎡ 이하),기타지역,33744,0,33485,0,33266,0,33095,0,32929,0,32770,0,32606,0,32415,0,32290,0,32146,0,31960,0,31800,0
청약예금(135㎡ 이하),서울,93038,0,92348,0,91746,0,91336,0,90919,0,90510,0,90174,0,89803,0,89433,0,89055,0,88563,0,88080,0
청약예금(135㎡ 이하),인천·경기,93417,0,92870,0,92455,0,92134,0,91782,0,91406,0,91111,0,90785,0,90636,0,90394,0,89984,0,89625,0
청약예금(135㎡ 이하),5대광역시,18644,0,18462,0,18297,0,18163,0,18058,0,17951,0,17853,0,17756,0,17660,0,17521,0,17379,0,17260,0
청약예금(135㎡ 이하),기타지역,15423,0,15293,0,15208,0,15138,0,15084,0,15018,0,14964,0,14895,0,14849,0,14784,0,14744,0,14687,0
청약예금(모든면적),서울,40794,0,40533,0,40318,0,40125,0,40047,0,39973,0,39930,0,39837,0,39732,0,39565,0,39362,0,39181,0
청약예금(모든면적),인천·경기,77528,0,77124,0,76796,0,76591,0,76288,0,76055,0,75787,0,75512,0,75353,0,75214,0,74947,0,74640,0
청약예금(모든면적),5대광역시,11893,0,11778,0,11678,0,11611,0,11548,0,11495,0,11447,0,11392,0,11335,0,11255,0,11167,0,11096,0
청약예금(모든면적),기타지역,22699,0,22519,0,22408,0,22336,0,22252,0,22134,0,22078,0,21999,0,21956,0,21903,0,21849,0,21796,0
