공급지역코드,공급규모,투기과열지구,조정대상지역,분양가상한제,정비사업,공공주택지구,대규모택지개발지구,수도권내민영공공주택지구,공급세대수,순위,거주지역,접수건수,경쟁률,최저당첨가점,토픽 1,토픽 2,토픽 3,토픽 4,토픽 5,토픽 6,토픽 7,법정동코드,시세차익
410,64,N,N,N,N,N,N,N,5,1순위,해당지역,6,1.2,36.0,0.0614333333333333,0.0013,0.0563333333333333,0.0452333333333333,0.1750666666666666,0.3638999999999999,0.2967666666666667,4111113400.0,507483873.2804232
410,64,N,N,N,N,N,N,N,2,1순위,해당지역,4,2.0,45.0,0.0614333333333333,0.0013,0.0563333333333333,0.0452333333333333,0.1750666666666666,0.3638999999999999,0.2967666666666667,4111113400.0,655720108.2010581
410,45,N,N,N,N,N,N,N,6,1순위,해당지역,9,1.5,39.0,0.11585,0.0032,0.11405,0.0309,0.40645,0.0032,0.3263,4145010800.0,541953798.0696064
410,45,N,N,N,N,N,N,N,8,1순위,해당지역,17,2.13,45.0,0.11585,0.0032,0.11405,0.0309,0.40645,0.0032,0.3263,4145010800.0,541952929.0182481
100,292,Y,Y,Y,Y,N,N,N,5,1순위,해당지역,0,1364.0,77.0,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,1165010700.0,1707144937.21116
100,292,Y,Y,Y,Y,N,N,N,16,1순위,해당지역,0,1604.88,74.0,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,1165010700.0,1745844865.5345879
100,292,Y,Y,Y,Y,N,N,N,2,1순위,해당지역,0,1552.0,77.0,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,1165010700.0,1707744891.1333635
100,292,Y,Y,Y,Y,N,N,N,55,1순위,해당지역,0,699.47,77.0,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,1165010700.0,2332738511.1540895
100,292,Y,Y,Y,Y,N,N,N,30,1순위,해당지역,0,284.5,74.0,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,1165010700.0,2286338171.1170177
100,292,Y,Y,Y,Y,N,N,N,16,1순위,해당지역,0,179.81,72.0,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,1165010700.0,2264738520.113661
100,292,Y,Y,Y,Y,N,N,N,16,1순위,해당지역,0,205.88,73.0,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,1165010700.0,2261238442.0373945
100,292,Y,Y,Y,Y,N,N,N,5,1순위,해당지역,0,233.6,74.0,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,1165010700.0,2860540767.3484755
100,292,Y,Y,Y,Y,N,N,N,14,1순위,해당지역,0,184.43,75.0,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,1165010700.0,2975439663.6145926
