공고번호,주택명,공급지역코드,공급규모,투기과열지구,조정대상지역,분양가상한제,정비사업,공공주택지구,대규모택지개발지구,수도권내민영공공주택지구,공급세대수,순위,거주지역,접수건수,경쟁률,최저당첨가점,전용면적,미달여부,공급금액(최고가 기준),법정동코드,전용면적당 시세차익
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,1순위,해당지역,0,0.0,0.0,43.7207,Y,377000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,1순위,기타지역,15,3.0,0.0,43.7207,N,377000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,2순위,해당지역,3,0.0,0.0,43.7207,Y,377000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,2순위,기타지역,10,0.0,0.0,43.7207,Y,377000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,1순위,해당지역,1,0.2,0.0,43.7207,Y,377000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,1순위,기타지역,7,1.75,0.0,43.7207,N,377000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,2순위,해당지역,2,0.0,0.0,43.7207,Y,377000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,2순위,기타지역,2,0.0,0.0,43.7207,Y,377000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,1순위,해당지역,2,0.4,0.0,56.2836,Y,479000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,1순위,기타지역,5,1.67,0.0,56.2836,N,479000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,2순위,해당지역,1,0.0,0.0,56.2836,Y,479000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,2순위,기타지역,1,0.0,0.0,56.2836,Y,479000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,1순위,해당지역,2,0.4,0.0,56.478,Y,479000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,1순위,기타지역,2,0.8,0.0,56.478,Y,479000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,2순위,해당지역,0,0.0,0.0,56.478,Y,479000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,2순위,기타지역,4,4.0,0.0,56.478,N,479000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,1순위,해당지역,0,0.0,0.0,60.4254,Y,515000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,1순위,기타지역,2,0.4,0.0,60.4254,Y,515000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,2순위,해당지역,0,0.0,0.0,60.4254,Y,515000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,2순위,기타지역,2,0.8,0.0,60.4254,Y,515000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,1순위,해당지역,0,0.0,0.0,61.4353,Y,495000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,1순위,기타지역,2,0.4,0.0,61.4353,Y,495000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,2순위,해당지역,0,0.0,0.0,61.4353,Y,495000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,2순위,기타지역,1,0.6,0.0,61.4353,Y,495000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,1순위,해당지역,2,0.4,0.0,63.2969,Y,515000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,1순위,기타지역,2,0.8,0.0,63.2969,Y,515000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,2순위,해당지역,0,0.0,0.0,63.2969,Y,515000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,2순위,기타지역,0,0.0,0.0,63.2969,Y,515000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,1순위,해당지역,0,0.0,0.0,66.9924,Y,525000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,1순위,기타지역,3,0.6,0.0,66.9924,Y,525000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,2순위,해당지역,0,0.0,0.0,66.9924,Y,525000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,2순위,기타지역,0,0.0,0.0,66.9924,Y,525000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,1순위,해당지역,1,0.2,0.0,66.8153,Y,500000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,1순위,기타지역,1,0.4,0.0,66.8153,Y,500000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,2순위,해당지역,0,0.0,0.0,66.8153,Y,500000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,2순위,기타지역,1,0.6,0.0,66.8153,Y,500000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,1순위,해당지역,0,0.0,0.0,69.433,Y,530000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,1순위,기타지역,0,0.0,0.0,69.433,Y,530000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,2순위,해당지역,0,0.0,0.0,69.433,Y,530000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,2순위,기타지역,1,0.2,0.0,69.433,Y,530000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,1순위,해당지역,3,0.6,0.0,73.9377,Y,536000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,1순위,기타지역,4,2.0,0.0,73.9377,N,536000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,2순위,해당지역,1,0.0,0.0,73.9377,Y,536000000.0,4119210200.0,
2025000043,부천 JY 포에시아,410,55,N,N,N,N,N,N,N,5,2순위,기타지역,12,0.0,0.0,73.9377,Y,536000000.0,4119210200.0,
2025000020,e편한세상 제물포역 파크메종(조합원 취소분),400,29,N,N,N,Y,N,N,N,5,1순위,해당지역,13,2.6,34.0,59.9393,N,449700000.0,2817710100.0,7502303.610512613
2025000020,e편한세상 제물포역 파크메종(조합원 취소분),400,29,N,N,N,Y,N,N,N,5,1순위,기타지역,11,0.0,0.0,59.9393,Y,449700000.0,2817710100.0,7502303.610512613
2025000020,e편한세상 제물포역 파크메종(조합원 취소분),400,29,N,N,N,Y,N,N,N,5,2순위,해당지역,8,0.0,0.0,59.9393,Y,449700000.0,2817710100.0,7502303.610512613
2025000020,e편한세상 제물포역 파크메종(조합원 취소분),400,29,N,N,N,Y,N,N,N,5,2순위,기타지역,6,0.0,0.0,59.9393,Y,449700000.0,2817710100.0,7502303.610512613
2025000020,e편한세상 제물포역 파크메종(조합원 취소분),400,29,N,N,N,Y,N,N,N,4,1순위,해당지역,8,2.0,24.0,74.9227,N,567500000.0,2817710100.0,7574186.914116481
2025000020,e편한세상 제물포역 파크메종(조합원 취소분),400,29,N,N,N,Y,N,N,N,4,1순위,기타지역,8,0.0,0.0,74.9227,Y,567500000.0,2817710100.0,7574186.914116481
2025000020,e편한세상 제물포역 파크메종(조합원 취소분),400,29,N,N,N,Y,N,N,N,4,2순위,해당지역,3,0.0,0.0,74.9227,Y,567500000.0,2817710100.0,7574186.914116481
2025000020,e편한세상 제물포역 파크메종(조합원 취소분),400,29,N,N,N,Y,N,N,N,4,2순위,기타지역,6,0.0,0.0,74.9227,Y,567500000.0,2817710100.0,7574186.914116481
2025000020,e편한세상 제물포역 파크메종(조합원 취소분),400,29,N,N,N,Y,N,N,N,3,1순위,해당지역,2,0.67,0.0,74.9774,Y,551700000.0,2817710100.0,7357930.766313415
2025000020,e편한세상 제물포역 파크메종(조합원 취소분),400,29,N,N,N,Y,N,N,N,3,1순위,기타지역,2,2.0,0.0,74.9774,N,551700000.0,2817710100.0,7357930.766313415
2025000020,e편한세상 제물포역 파크메종(조합원 취소분),400,29,N,N,N,Y,N,N,N,3,2순위,해당지역,1,0.0,33.0,74.9774,Y,551700000.0,2817710100.0,7357930.766313415
2025000020,e편한세상 제물포역 파크메종(조합원 취소분),400,29,N,N,N,Y,N,N,N,3,2순위,기타지역,1,0.0,0.0,74.9774,Y,551700000.0,2817710100.0,7357930.766313415
2025000020,e편한세상 제물포역 파크메종(조합원 취소분),400,29,N,N,N,Y,N,N,N,6,1순위,해당지역,7,1.17,0.0,84.9646,N,653900000.0,2817710100.0,7695859.8852611
2025000020,e편한세상 제물포역 파크메종(조합원 취소분),400,29,N,N,N,Y,N,N,N,6,1순위,기타지역,8,0.0,0.0,84.9646,Y,653900000.0,2817710100.0,7695859.8852611
2025000020,e편한세상 제물포역 파크메종(조합원 취소분),400,29,N,N,N,Y,N,N,N,6,2순위,해당지역,5,0.0,0.0,84.9646,Y,653900000.0,2817710100.0,7695859.8852611
2025000020,e편한세상 제물포역 파크메종(조합원 취소분),400,29,N,N,N,Y,N,N,N,6,2순위,기타지역,8,0.0,0.0,84.9646,Y,653900000.0,2817710100.0,7695859.8852611
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,35,1순위,해당지역,0,305.14,69.0,59.98,N,1724700000.0,1165010100.0,28752266.80897161
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,35,1순위,기타지역,0,0.0,0.0,59.98,Y,1724700000.0,1165010100.0,28752266.80897161
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,35,2순위,해당지역,0,0.0,0.0,59.98,Y,1724700000.0,1165010100.0,28752266.80897161
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,35,2순위,기타지역,0,0.0,0.0,59.98,Y,1724700000.0,1165010100.0,28752266.80897161
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,30,1순위,해당지역,0,307.43,69.0,59.95,N,1760600000.0,1165010100.0,29365488.452772252
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,30,1순위,기타지역,0,0.0,0.0,59.95,Y,1760600000.0,1165010100.0,29365488.452772252
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,30,2순위,해당지역,0,0.0,0.0,59.95,Y,1760600000.0,1165010100.0,29365488.452772252
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,30,2순위,기타지역,0,0.0,0.0,59.95,Y,1760600000.0,1165010100.0,29365488.452772252
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,14,1순위,해당지역,0,172.14,69.0,59.78,N,1796500000.0,1165010100.0,30049538.75564816
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,14,1순위,기타지역,0,0.0,0.0,59.78,Y,1796500000.0,1165010100.0,30049538.75564816
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,14,2순위,해당지역,0,0.0,0.0,59.78,Y,1796500000.0,1165010100.0,30049538.75564816
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,14,2순위,기타지역,0,0.0,0.0,59.78,Y,1796500000.0,1165010100.0,30049538.75564816
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,8,1순위,해당지역,849,106.13,69.0,84.73,N,2352700000.0,1165010100.0,27764706.61393905
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,8,1순위,기타지역,0,0.0,0.0,84.73,Y,2352700000.0,1165010100.0,27764706.61393905
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,8,2순위,해당지역,0,0.0,0.0,84.73,Y,2352700000.0,1165010100.0,27764706.61393905
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,8,2순위,기타지역,0,0.0,0.0,84.73,Y,2352700000.0,1165010100.0,27764706.61393905
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,82,1순위,해당지역,0,134.28,69.0,84.68,N,2437700000.0,1165010100.0,28784880.81367133
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,82,1순위,기타지역,0,0.0,0.0,84.68,Y,2437700000.0,1165010100.0,28784880.81367133
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,82,2순위,해당지역,0,0.0,0.0,84.68,Y,2437700000.0,1165010100.0,28784880.81367133
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,82,2순위,기타지역,0,0.0,0.0,84.68,Y,2437700000.0,1165010100.0,28784880.81367133
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,8,1순위,해당지역,732,91.5,69.0,84.92,N,2352700000.0,1165010100.0,27702580.675565857
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,8,1순위,기타지역,0,0.0,0.0,84.92,Y,2352700000.0,1165010100.0,27702580.675565857
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,8,2순위,해당지역,0,0.0,0.0,84.92,Y,2352700000.0,1165010100.0,27702580.675565857
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,8,2순위,기타지역,0,0.0,0.0,84.92,Y,2352700000.0,1165010100.0,27702580.675565857
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,18,1순위,해당지역,0,76.94,69.0,84.97,N,2450700000.0,1165010100.0,28839626.162956577
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,18,1순위,기타지역,0,0.0,0.0,84.97,Y,2450700000.0,1165010100.0,28839626.162956577
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,18,2순위,해당지역,0,0.0,0.0,84.97,Y,2450700000.0,1165010100.0,28839626.162956577
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,18,2순위,기타지역,0,0.0,0.0,84.97,Y,2450700000.0,1165010100.0,28839626.162956577
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,19,1순위,해당지역,0,91.58,69.0,84.92,N,2352700000.0,1165010100.0,27702580.675565857
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,19,1순위,기타지역,0,0.0,0.0,84.92,Y,2352700000.0,1165010100.0,27702580.675565857
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,19,2순위,해당지역,0,0.0,0.0,84.92,Y,2352700000.0,1165010100.0,27702580.675565857
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,19,2순위,기타지역,0,0.0,0.0,84.92,Y,2352700000.0,1165010100.0,27702580.675565857
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,8,1순위,해당지역,282,35.25,69.0,106.97,N,2875500000.0,1165010100.0,26879050.555372007
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,8,1순위,기타지역,0,0.0,0.0,106.97,Y,2875500000.0,1165010100.0,26879050.555372007
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,8,2순위,해당지역,0,0.0,0.0,106.97,Y,2875500000.0,1165010100.0,26879050.555372007
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,8,2순위,기타지역,0,0.0,0.0,106.97,Y,2875500000.0,1165010100.0,26879050.555372007
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,42,1순위,해당지역,0,49.83,69.0,106.81,N,2997800000.0,1165010100.0,28064342.372404903
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,42,1순위,기타지역,0,0.0,0.0,106.81,Y,2997800000.0,1165010100.0,28064342.372404903
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,42,2순위,해당지역,0,0.0,0.0,106.81,Y,2997800000.0,1165010100.0,28064342.372404903
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,42,2순위,기타지역,0,0.0,0.0,106.81,Y,2997800000.0,1165010100.0,28064342.372404903
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,4,1순위,해당지역,230,57.5,69.0,120.63,N,3184000000.0,1165010100.0,26392442.786280025
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,4,1순위,기타지역,0,0.0,0.0,120.63,Y,3184000000.0,1165010100.0,26392442.786280025
2025000001,래미안 원페를라,100,482,Y,Y,Y,Y,N,N,N,4,2순위,해당지역,0,0.0,0.0,120.63,Y,3184000000.0,1165010100.0,26392442.786280025
