공급규모,투기과열지구,조정대상지역,분양가상한제,정비사업,공공주택지구,대규모택지개발지구,수도권내민영공공주택지구,순위,거주지역,접수건수,경쟁률,토픽 1,토픽 2,토픽 3,토픽 4,토픽 5,토픽 6,토픽 7,법정동코드,기준금리,시세차익
64,N,N,N,N,N,N,N,1순위,해당지역,6.0,1.2,0.0614333333333333,0.0013,0.0563333333333333,0.0452333333333333,0.1750666666666666,0.3638999999999999,0.2967666666666667,4111113400.0,3.25,507483873.2804232
64,N,N,N,N,N,N,N,1순위,해당지역,4.0,2.0,0.0614333333333333,0.0013,0.0563333333333333,0.0452333333333333,0.1750666666666666,0.3638999999999999,0.2967666666666667,4111113400.0,3.25,655720108.2010581
45,N,N,N,N,N,N,N,1순위,해당지역,9.0,1.5,0.11585,0.0032,0.11405,0.0309,0.40645,0.0032,0.3263,4145010800.0,3.5,541953798.0696064
45,N,N,N,N,N,N,N,1순위,해당지역,17.0,2.13,0.11585,0.0032,0.11405,0.0309,0.40645,0.0032,0.3263,4145010800.0,3.5,541952929.0182481
292,Y,Y,Y,Y,N,N,N,1순위,해당지역,6820.0,1364.0,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,1165010700.0,3.5,1707144937.21116
292,Y,Y,Y,Y,N,N,N,1순위,해당지역,25678.0,1604.88,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,1165010700.0,3.5,1745844865.5345879
292,Y,Y,Y,Y,N,N,N,1순위,해당지역,3104.0,1552.0,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,1165010700.0,3.5,1707744891.1333635
292,Y,Y,Y,Y,N,N,N,1순위,해당지역,38471.0,699.47,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,1165010700.0,3.5,2332738511.1540895
292,Y,Y,Y,Y,N,N,N,1순위,해당지역,8535.0,284.5,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,1165010700.0,3.5,2286338171.1170177
292,Y,Y,Y,Y,N,N,N,1순위,해당지역,2877.0,179.81,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,1165010700.0,3.5,2264738520.113661
292,Y,Y,Y,Y,N,N,N,1순위,해당지역,3294.0,205.88,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,1165010700.0,3.5,2261238442.0373945
292,Y,Y,Y,Y,N,N,N,1순위,해당지역,1168.0,233.6,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,1165010700.0,3.5,2860540767.3484755
292,Y,Y,Y,Y,N,N,N,1순위,해당지역,2582.0,184.43,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,1165010700.0,3.5,2975439663.6145926
292,Y,Y,Y,Y,N,N,N,1순위,해당지역,648.0,81.0,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,1165010700.0,3.5,3788112719.7120767
292,Y,Y,Y,Y,N,N,N,1순위,해당지역,112.0,37.33,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,1165010700.0,3.5,3683611260.1552105
292,Y,Y,Y,Y,N,N,N,1순위,해당지역,260.0,65.0,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,1165010700.0,3.5,4244104963.430603
292,Y,Y,Y,Y,N,N,N,1순위,해당지역,315.0,78.75,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,1165010700.0,3.5,5199081440.745827
100,N,N,N,N,N,N,N,1순위,해당지역,45.0,5.0,0.0010333333333333,0.0113,0.2596333333333333,0.0167333333333333,0.3289666666666667,0.1300666666666666,0.2523666666666667,4128110600.0,3.5,366972864.63703465
100,N,N,N,N,N,N,N,1순위,해당지역,101.0,5.61,0.0010333333333333,0.0113,0.2596333333333333,0.0167333333333333,0.3289666666666667,0.1300666666666666,0.2523666666666667,4128110600.0,3.5,340972684.2388471
100,N,N,N,N,N,N,N,1순위,해당지역,58.0,6.44,0.0010333333333333,0.0113,0.2596333333333333,0.0167333333333333,0.3289666666666667,0.1300666666666666,0.2523666666666667,4128110600.0,3.5,369972752.97772837
100,N,N,N,N,N,N,N,1순위,해당지역,54.0,5.4,0.0010333333333333,0.0113,0.2596333333333333,0.0167333333333333,0.3289666666666667,0.1300666666666666,0.2523666666666667,4128110600.0,3.5,344972658.9168997
100,N,N,N,N,N,N,N,1순위,해당지역,65.0,6.5,0.0010333333333333,0.0113,0.2596333333333333,0.0167333333333333,0.3289666666666667,0.1300666666666666,0.2523666666666667,4128110600.0,3.5,376972725.6697458
1,Y,Y,Y,Y,N,N,N,1순위,해당지역,35076.0,35076.0,0.1787,0.1162333333333333,0.0119333333333333,0.6000666666666666,0.0143666666666666,0.0020666666666666,0.0765333333333333,1165010700.0,3.5,1956029931.885428
74,N,N,N,N,N,N,N,1순위,해당지역,1057.0,81.31,0.0980666666666666,0.2402333333333333,0.0303333333333333,0.0006,0.6225999999999999,0.0075,0.0006,1174010600.0,3.5,1367883276.4711196
74,N,N,N,N,N,N,N,1순위,해당지역,1662.0,110.8,0.0980666666666666,0.2402333333333333,0.0303333333333333,0.0006,0.6225999999999999,0.0075,0.0006,1174010600.0,3.5,1392883267.9547236
58,N,N,N,N,N,N,N,1순위,해당지역,188.0,6.06,0.0991333333333333,0.4537,0.0009666666666666,0.0009333333333333,0.4434666666666667,0.0009333333333333,0.0009333333333333,1174010800.0,3.5,1199940600.76494
58,N,N,N,N,N,N,N,1순위,해당지역,59.0,14.75,0.0991333333333333,0.4537,0.0009666666666666,0.0009333333333333,0.4434666666666667,0.0009333333333333,0.0009333333333333,1174010800.0,3.5,1369940600.76494
58,N,N,N,N,N,N,N,1순위,해당지역,33.0,16.5,0.0991333333333333,0.4537,0.0009666666666666,0.0009333333333333,0.4434666666666667,0.0009333333333333,0.0009333333333333,1174010800.0,3.5,1139940600.76494
45,N,N,N,N,N,N,N,1순위,해당지역,48.0,4.8,0.3322666666666666,0.0354333333333333,0.0831666666666666,0.0610333333333333,0.4851,0.0015,0.0015,1147010100.0,3.5,603847036.5687762
45,N,N,N,N,N,N,N,1순위,해당지역,15.0,7.5,0.3322666666666666,0.0354333333333333,0.0831666666666666,0.0610333333333333,0.4851,0.0015,0.0015,1147010100.0,3.5,730947050.7225525
45,N,N,N,N,N,N,N,1순위,해당지역,8.0,2.0,0.3322666666666666,0.0354333333333333,0.0831666666666666,0.0610333333333333,0.4851,0.0015,0.0015,1147010100.0,3.5,852022663.7658454
45,N,N,N,N,N,N,N,1순위,해당지역,2.0,2.0,0.3322666666666666,0.0354333333333333,0.0831666666666666,0.0610333333333333,0.4851,0.0015,0.0015,1147010100.0,3.5,1010122663.7658454
45,N,N,N,N,N,N,N,1순위,해당지역,33.0,2.75,0.3322666666666666,0.0354333333333333,0.0831666666666666,0.0610333333333333,0.4851,0.0015,0.0015,1147010100.0,3.5,976315275.4945737
45,N,N,N,N,N,N,N,1순위,해당지역,32.0,2.67,0.3322666666666666,0.0354333333333333,0.0831666666666666,0.0610333333333333,0.4851,0.0015,0.0015,1147010100.0,3.5,968915119.8030335
45,N,N,N,N,N,N,N,1순위,해당지역,11.0,5.5,0.3322666666666666,0.0354333333333333,0.0831666666666666,0.0610333333333333,0.4851,0.0015,0.0015,1147010100.0,3.5,1177015685.9540887
45,N,N,N,N,N,N,N,1순위,해당지역,13.0,6.5,0.3322666666666666,0.0354333333333333,0.0831666666666666,0.0610333333333333,0.4851,0.0015,0.0015,1147010100.0,3.5,1167715572.7238777
80,N,N,N,N,N,N,N,1순위,해당지역,16.0,2.0,0.2108666666666666,0.0656333333333333,0.0937333333333333,0.0530666666666666,0.1194666666666666,0.4563,0.0009,1174010500.0,3.5,368976634.8093699
80,N,N,N,N,N,N,N,1순위,해당지역,13.0,1.44,0.2108666666666666,0.0656333333333333,0.0937333333333333,0.0530666666666666,0.1194666666666666,0.4563,0.0009,1174010500.0,3.5,434974616.6859357
80,N,N,N,N,N,N,N,1순위,해당지역,32.0,4.0,0.2108666666666666,0.0656333333333333,0.0937333333333333,0.0530666666666666,0.1194666666666666,0.4563,0.0009,1174010500.0,3.5,531966171.15992445
80,N,N,N,N,N,N,N,1순위,해당지역,32.0,4.57,0.2108666666666666,0.0656333333333333,0.0937333333333333,0.0530666666666666,0.1194666666666666,0.4563,0.0009,1174010500.0,3.5,628963638.9401528
80,N,N,N,N,N,N,N,1순위,해당지역,19.0,2.38,0.2108666666666666,0.0656333333333333,0.0937333333333333,0.0530666666666666,0.1194666666666666,0.4563,0.0009,1174010500.0,3.5,638963710.8417385
80,N,N,N,N,N,N,N,1순위,해당지역,26.0,2.89,0.2108666666666666,0.0656333333333333,0.0937333333333333,0.0530666666666666,0.1194666666666666,0.4563,0.0009,1174010500.0,3.5,648964020.3609452
292,N,N,Y,N,N,Y,N,1순위,해당지역,2334.0,72.94,0.4207333333333333,0.1219333333333333,0.0009666666666666,0.001,0.1808,0.0009666666666666,0.2735333333333333,4148011300.0,3.5,478045485.5959686
292,N,N,Y,N,N,Y,N,1순위,기타지역,831.0,90.02,0.4207333333333333,0.1219333333333333,0.0009666666666666,0.001,0.1808,0.0009666666666666,0.2735333333333333,4148011300.0,3.5,478045485.5959686
292,N,N,Y,N,N,Y,N,1순위,해당지역,214.0,53.5,0.4207333333333333,0.1219333333333333,0.0009666666666666,0.001,0.1808,0.0009666666666666,0.2735333333333333,4148011300.0,3.5,463345484.441463
292,N,N,Y,N,N,Y,N,1순위,기타지역,108.0,74.0,0.4207333333333333,0.1219333333333333,0.0009666666666666,0.001,0.1808,0.0009666666666666,0.2735333333333333,4148011300.0,3.5,463345484.441463
45,N,N,N,N,N,N,N,1순위,해당지역,23.0,1.53,0.3917666666666666,0.1334,0.0008333333333333,0.1223,0.2793,0.0411,0.0313333333333333,1150010600.0,3.5,1049943383.6578889
299,Y,Y,Y,Y,N,N,N,1순위,해당지역,2402.0,63.21,0.1959999999999999,0.3898333333333333,0.0815,0.1453,0.1762,0.0101,0.0010666666666666,1171010800.0,3.5,765721546.4417751
299,Y,Y,Y,Y,N,N,N,1순위,해당지역,4051.0,71.07,0.1959999999999999,0.3898333333333333,0.0815,0.1453,0.1762,0.0101,0.0010666666666666,1171010800.0,3.5,753722363.6663399
299,Y,Y,Y,Y,N,N,N,1순위,해당지역,2870.0,220.77,0.1959999999999999,0.3898333333333333,0.0815,0.1453,0.1762,0.0101,0.0010666666666666,1171010800.0,3.5,888605799.1530447
299,Y,Y,Y,Y,N,N,N,1순위,해당지역,8502.0,354.25,0.1959999999999999,0.3898333333333333,0.0815,0.1453,0.1762,0.0101,0.0010666666666666,1171010800.0,3.5,884505909.1640439
299,Y,Y,Y,Y,N,N,N,1순위,해당지역,983.0,196.6,0.1959999999999999,0.3898333333333333,0.0815,0.1453,0.1762,0.0101,0.0010666666666666,1171010800.0,3.5,1058082209.6516634
299,Y,Y,Y,Y,N,N,N,1순위,해당지역,432.0,86.4,0.1959999999999999,0.3898333333333333,0.0815,0.1453,0.1762,0.0101,0.0010666666666666,1171010800.0,3.5,1085883026.8762283
299,Y,Y,Y,Y,N,N,N,1순위,해당지역,3256.0,250.46,0.1959999999999999,0.3898333333333333,0.0815,0.1453,0.1762,0.0101,0.0010666666666666,1171010800.0,3.5,1090883026.8762283
