공급지역명,공급규모,투기과열지구,조정대상지역,분양가상한제,정비사업,공공주택지구,대규모택지개발지구,수도권내민영공공주택지구,거주지역,접수건수,경쟁률,최고당첨가점,토픽 1,토픽 2,토픽 3,토픽 4,토픽 5,토픽 6,토픽 7,기준금리,시세차익
경기,64,N,N,N,N,N,N,N,해당지역,6.0,1.2,45.0,0.0614333333333333,0.0013,0.0563333333333333,0.0452333333333333,0.1750666666666666,0.3638999999999999,0.2967666666666667,3.25,507483873.2804232
경기,64,N,N,N,N,N,N,N,해당지역,4.0,2.0,45.0,0.0614333333333333,0.0013,0.0563333333333333,0.0452333333333333,0.1750666666666666,0.3638999999999999,0.2967666666666667,3.25,655720108.2010581
경기,45,N,N,N,N,N,N,N,해당지역,9.0,1.5,50.0,0.11585,0.0032,0.11405,0.0309,0.40645,0.0032,0.3263,3.5,541953798.0696064
경기,45,N,N,N,N,N,N,N,해당지역,17.0,2.13,52.0,0.11585,0.0032,0.11405,0.0309,0.40645,0.0032,0.3263,3.5,541952929.0182481
서울,292,Y,Y,Y,Y,N,N,N,해당지역,6820.0,1364.0,79.0,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,3.5,1707144937.21116
서울,292,Y,Y,Y,Y,N,N,N,해당지역,25678.0,1604.88,79.0,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,3.5,1745844865.5345879
서울,292,Y,Y,Y,Y,N,N,N,해당지역,3104.0,1552.0,77.0,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,3.5,1707744891.1333635
서울,292,Y,Y,Y,Y,N,N,N,해당지역,38471.0,699.47,84.0,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,3.5,2332738511.1540895
서울,292,Y,Y,Y,Y,N,N,N,해당지역,8535.0,284.5,75.0,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,3.5,2286338171.1170177
서울,292,Y,Y,Y,Y,N,N,N,해당지역,2877.0,179.81,79.0,0.1792,0.5142666666666666,0.0012333333333333,0.3015666666666666,0.0012333333333333,0.0012333333333333,0.0012,3.5,2264738520.113661
